Dia: 64.0 m | Vel: 20.0 km/s | theta: 45.0 deg | Strength: 1.0e+05 Pa
Power (W)    Altitude (m)
8.5221e+11   9.9958e+04
8.5526e+11   9.9915e+04
8.5831e+11   9.9873e+04
8.6138e+11   9.9830e+04
8.6446e+11   9.9788e+04
8.6755e+11   9.9745e+04
8.7065e+11   9.9703e+04
8.7377e+11   9.9661e+04
8.7690e+11   9.9618e+04
8.8004e+11   9.9576e+04
8.8319e+11   9.9533e+04
8.8635e+11   9.9491e+04
8.8953e+11   9.9448e+04
8.9271e+11   9.9406e+04
8.9592e+11   9.9364e+04
8.9913e+11   9.9321e+04
9.0235e+11   9.9279e+04
9.0559e+11   9.9236e+04
9.0884e+11   9.9194e+04
9.1210e+11   9.9152e+04
9.1538e+11   9.9109e+04
9.1867e+11   9.9067e+04
9.2197e+11   9.9024e+04
9.2528e+11   9.8982e+04
9.2861e+11   9.8939e+04
9.3195e+11   9.8897e+04
9.3530e+11   9.8855e+04
9.3867e+11   9.8812e+04
9.4205e+11   9.8770e+04
9.4544e+11   9.8727e+04
9.4884e+11   9.8685e+04
9.5226e+11   9.8642e+04
9.5569e+11   9.8600e+04
9.5914e+11   9.8558e+04
9.6260e+11   9.8515e+04
9.6607e+11   9.8473e+04
9.6955e+11   9.8430e+04
9.7305e+11   9.8388e+04
9.7656e+11   9.8346e+04
9.8009e+11   9.8303e+04
9.8363e+11   9.8261e+04
9.8718e+11   9.8218e+04
9.9075e+11   9.8176e+04
9.9433e+11   9.8133e+04
9.9793e+11   9.8091e+04
1.0015e+12   9.8049e+04
1.0052e+12   9.8006e+04
1.0088e+12   9.7964e+04
1.0124e+12   9.7921e+04
1.0161e+12   9.7879e+04
1.0198e+12   9.7837e+04
1.0235e+12   9.7794e+04
1.0272e+12   9.7752e+04
1.0309e+12   9.7709e+04
1.0347e+12   9.7667e+04
1.0384e+12   9.7625e+04
1.0422e+12   9.7582e+04
1.0460e+12   9.7540e+04
1.0498e+12   9.7497e+04
1.0536e+12   9.7455e+04
1.0574e+12   9.7412e+04
1.0612e+12   9.7370e+04
1.0651e+12   9.7328e+04
1.0690e+12   9.7285e+04
1.0729e+12   9.7243e+04
1.0768e+12   9.7200e+04
1.0807e+12   9.7158e+04
1.0846e+12   9.7116e+04
1.0886e+12   9.7073e+04
1.0925e+12   9.7031e+04
1.0965e+12   9.6988e+04
1.1005e+12   9.6946e+04
1.1045e+12   9.6904e+04
1.1085e+12   9.6861e+04
1.1126e+12   9.6819e+04
1.1166e+12   9.6776e+04
1.1207e+12   9.6734e+04
1.1248e+12   9.6692e+04
1.1289e+12   9.6649e+04
1.1330e+12   9.6607e+04
1.1372e+12   9.6564e+04
1.1413e+12   9.6522e+04
1.1455e+12   9.6479e+04
1.1497e+12   9.6437e+04
1.1539e+12   9.6395e+04
1.1581e+12   9.6352e+04
1.1624e+12   9.6310e+04
1.1666e+12   9.6267e+04
1.1709e+12   9.6225e+04
1.1752e+12   9.6183e+04
1.1795e+12   9.6140e+04
1.1838e+12   9.6098e+04
1.1881e+12   9.6055e+04
1.1925e+12   9.6013e+04
1.1969e+12   9.5971e+04
1.2013e+12   9.5928e+04
1.2057e+12   9.5886e+04
1.2101e+12   9.5843e+04
1.2145e+12   9.5801e+04
1.2190e+12   9.5759e+04
1.2235e+12   9.5716e+04
1.2280e+12   9.5674e+04
1.2325e+12   9.5631e+04
1.2370e+12   9.5589e+04
1.2416e+12   9.5547e+04
1.2462e+12   9.5504e+04
1.2507e+12   9.5462e+04
1.2553e+12   9.5419e+04
1.2600e+12   9.5377e+04
1.2646e+12   9.5335e+04
1.2693e+12   9.5292e+04
1.2739e+12   9.5250e+04
1.2786e+12   9.5207e+04
1.2834e+12   9.5165e+04
1.2881e+12   9.5123e+04
1.2929e+12   9.5080e+04
1.2976e+12   9.5038e+04
1.3024e+12   9.4995e+04
1.3072e+12   9.4953e+04
1.3121e+12   9.4911e+04
1.3169e+12   9.4868e+04
1.3218e+12   9.4826e+04
1.3267e+12   9.4783e+04
1.3316e+12   9.4741e+04
1.3365e+12   9.4699e+04
1.3414e+12   9.4656e+04
1.3464e+12   9.4614e+04
1.3514e+12   9.4572e+04
1.3564e+12   9.4529e+04
1.3614e+12   9.4487e+04
1.3665e+12   9.4444e+04
1.3715e+12   9.4402e+04
1.3766e+12   9.4360e+04
1.3817e+12   9.4317e+04
1.3869e+12   9.4275e+04
1.3920e+12   9.4232e+04
1.3972e+12   9.4190e+04
1.4024e+12   9.4148e+04
1.4076e+12   9.4105e+04
1.4128e+12   9.4063e+04
1.4181e+12   9.4020e+04
1.4233e+12   9.3978e+04
1.4286e+12   9.3936e+04
1.4339e+12   9.3893e+04
1.4393e+12   9.3851e+04
1.4446e+12   9.3808e+04
1.4500e+12   9.3766e+04
1.4554e+12   9.3724e+04
1.4609e+12   9.3681e+04
1.4663e+12   9.3639e+04
1.4718e+12   9.3597e+04
1.4773e+12   9.3554e+04
1.4828e+12   9.3512e+04
1.4883e+12   9.3469e+04
1.4939e+12   9.3427e+04
1.4994e+12   9.3385e+04
1.5050e+12   9.3342e+04
1.5107e+12   9.3300e+04
1.5163e+12   9.3257e+04
1.5220e+12   9.3215e+04
1.5277e+12   9.3173e+04
1.5334e+12   9.3130e+04
1.5391e+12   9.3088e+04
1.5449e+12   9.3046e+04
1.5507e+12   9.3003e+04
1.5565e+12   9.2961e+04
1.5623e+12   9.2918e+04
1.5682e+12   9.2876e+04
1.5740e+12   9.2834e+04
1.5799e+12   9.2791e+04
1.5859e+12   9.2749e+04
1.5918e+12   9.2706e+04
1.5978e+12   9.2664e+04
1.6038e+12   9.2622e+04
1.6098e+12   9.2579e+04
1.6158e+12   9.2537e+04
1.6219e+12   9.2495e+04
1.6280e+12   9.2452e+04
1.6341e+12   9.2410e+04
1.6403e+12   9.2367e+04
1.6465e+12   9.2325e+04
1.6526e+12   9.2283e+04
1.6589e+12   9.2240e+04
1.6651e+12   9.2198e+04
1.6714e+12   9.2156e+04
1.6777e+12   9.2113e+04
1.6840e+12   9.2071e+04
1.6904e+12   9.2028e+04
1.6967e+12   9.1986e+04
1.7031e+12   9.1944e+04
1.7096e+12   9.1901e+04
1.7160e+12   9.1859e+04
1.7225e+12   9.1816e+04
1.7290e+12   9.1774e+04
1.7355e+12   9.1732e+04
1.7421e+12   9.1689e+04
1.7487e+12   9.1647e+04
1.7553e+12   9.1605e+04
1.7619e+12   9.1562e+04
1.7686e+12   9.1520e+04
1.7753e+12   9.1477e+04
1.7820e+12   9.1435e+04
1.7887e+12   9.1393e+04
1.7955e+12   9.1350e+04
1.8023e+12   9.1308e+04
1.8091e+12   9.1266e+04
1.8160e+12   9.1223e+04
1.8229e+12   9.1181e+04
1.8298e+12   9.1138e+04
1.8367e+12   9.1096e+04
1.8437e+12   9.1054e+04
1.8507e+12   9.1011e+04
1.8577e+12   9.0969e+04
1.8648e+12   9.0927e+04
1.8719e+12   9.0884e+04
1.8790e+12   9.0842e+04
1.8862e+12   9.0800e+04
1.8933e+12   9.0757e+04
1.9005e+12   9.0715e+04
1.9078e+12   9.0672e+04
1.9150e+12   9.0630e+04
1.9223e+12   9.0588e+04
1.9296e+12   9.0545e+04
1.9370e+12   9.0503e+04
1.9444e+12   9.0461e+04
1.9518e+12   9.0418e+04
1.9592e+12   9.0376e+04
1.9667e+12   9.0333e+04
1.9742e+12   9.0291e+04
1.9817e+12   9.0249e+04
1.9893e+12   9.0206e+04
1.9969e+12   9.0164e+04
2.0045e+12   9.0122e+04
2.0122e+12   9.0079e+04
2.0199e+12   9.0037e+04
2.0276e+12   8.9995e+04
2.0354e+12   8.9952e+04
2.0432e+12   8.9910e+04
2.0510e+12   8.9867e+04
2.0588e+12   8.9825e+04
2.0667e+12   8.9783e+04
2.0746e+12   8.9740e+04
2.0826e+12   8.9698e+04
2.0906e+12   8.9656e+04
2.0986e+12   8.9613e+04
2.1066e+12   8.9571e+04
2.1147e+12   8.9529e+04
2.1228e+12   8.9486e+04
2.1310e+12   8.9444e+04
2.1392e+12   8.9401e+04
2.1474e+12   8.9359e+04
2.1557e+12   8.9317e+04
2.1639e+12   8.9274e+04
2.1723e+12   8.9232e+04
2.1806e+12   8.9190e+04
2.1890e+12   8.9147e+04
2.1974e+12   8.9105e+04
2.2059e+12   8.9063e+04
2.2144e+12   8.9020e+04
2.2229e+12   8.8978e+04
2.2315e+12   8.8935e+04
2.2401e+12   8.8893e+04
2.2487e+12   8.8851e+04
2.2574e+12   8.8808e+04
2.2661e+12   8.8766e+04
2.2748e+12   8.8724e+04
2.2836e+12   8.8681e+04
2.2924e+12   8.8639e+04
2.3013e+12   8.8597e+04
2.3102e+12   8.8554e+04
2.3191e+12   8.8512e+04
2.3281e+12   8.8470e+04
2.3371e+12   8.8427e+04
2.3461e+12   8.8385e+04
2.3552e+12   8.8342e+04
2.3643e+12   8.8300e+04
2.3735e+12   8.8258e+04
2.3827e+12   8.8215e+04
2.3919e+12   8.8173e+04
2.4012e+12   8.8131e+04
2.4105e+12   8.8088e+04
2.4198e+12   8.8046e+04
2.4292e+12   8.8004e+04
2.4386e+12   8.7961e+04
2.4481e+12   8.7919e+04
2.4576e+12   8.7877e+04
2.4672e+12   8.7834e+04
2.4767e+12   8.7792e+04
2.4864e+12   8.7749e+04
2.4960e+12   8.7707e+04
2.5057e+12   8.7665e+04
2.5155e+12   8.7622e+04
2.5253e+12   8.7580e+04
2.5351e+12   8.7538e+04
2.5450e+12   8.7495e+04
2.5549e+12   8.7453e+04
2.5648e+12   8.7411e+04
2.5748e+12   8.7368e+04
2.5849e+12   8.7326e+04
2.5950e+12   8.7284e+04
2.6051e+12   8.7241e+04
2.6152e+12   8.7199e+04
2.6255e+12   8.7157e+04
2.6357e+12   8.7114e+04
2.6460e+12   8.7072e+04
2.6563e+12   8.7030e+04
2.6667e+12   8.6987e+04
2.6771e+12   8.6945e+04
2.6876e+12   8.6903e+04
2.6981e+12   8.6860e+04
2.7087e+12   8.6818e+04
2.7193e+12   8.6775e+04
2.7299e+12   8.6733e+04
2.7406e+12   8.6691e+04
2.7514e+12   8.6648e+04
2.7621e+12   8.6606e+04
2.7730e+12   8.6564e+04
2.7838e+12   8.6521e+04
2.7948e+12   8.6479e+04
2.8057e+12   8.6437e+04
2.8167e+12   8.6394e+04
2.8278e+12   8.6352e+04
2.8389e+12   8.6310e+04
2.8501e+12   8.6267e+04
2.8613e+12   8.6225e+04
