Dia: 8.0 m | Vel: 20.0 km/s | theta: 45.0 deg | Strength: 1.0e+05 Pa
Power (W)    Time (sec)
1.3316e+10   3.0000e-03
1.3363e+10   6.0000e-03
1.3411e+10   9.0000e-03
1.3459e+10   1.2000e-02
1.3507e+10   1.5000e-02
1.3555e+10   1.8000e-02
1.3603e+10   2.1000e-02
1.3652e+10   2.4000e-02
1.3701e+10   2.7000e-02
1.3750e+10   3.0000e-02
1.3799e+10   3.3000e-02
1.3849e+10   3.6000e-02
1.3898e+10   3.9000e-02
1.3948e+10   4.2000e-02
1.3998e+10   4.5000e-02
1.4048e+10   4.8000e-02
1.4098e+10   5.1000e-02
1.4149e+10   5.4000e-02
1.4200e+10   5.7000e-02
1.4251e+10   6.0000e-02
1.4302e+10   6.3000e-02
1.4353e+10   6.6000e-02
1.4405e+10   6.9000e-02
1.4456e+10   7.2000e-02
1.4508e+10   7.5000e-02
1.4561e+10   7.8000e-02
1.4613e+10   8.1000e-02
1.4665e+10   8.4000e-02
1.4718e+10   8.7000e-02
1.4771e+10   9.0000e-02
1.4824e+10   9.3000e-02
1.4878e+10   9.6000e-02
1.4931e+10   9.9000e-02
1.4985e+10   1.0200e-01
1.5039e+10   1.0500e-01
1.5093e+10   1.0800e-01
1.5148e+10   1.1100e-01
1.5202e+10   1.1400e-01
1.5257e+10   1.1700e-01
1.5312e+10   1.2000e-01
1.5367e+10   1.2300e-01
1.5423e+10   1.2600e-01
1.5479e+10   1.2900e-01
1.5535e+10   1.3200e-01
1.5591e+10   1.3500e-01
1.5647e+10   1.3800e-01
1.5704e+10   1.4100e-01
1.5760e+10   1.4400e-01
1.5817e+10   1.4700e-01
1.5875e+10   1.5000e-01
1.5932e+10   1.5300e-01
1.5990e+10   1.5600e-01
1.6048e+10   1.5900e-01
1.6106e+10   1.6200e-01
1.6164e+10   1.6500e-01
1.6223e+10   1.6800e-01
1.6282e+10   1.7100e-01
1.6341e+10   1.7400e-01
1.6400e+10   1.7700e-01
1.6459e+10   1.8000e-01
1.6519e+10   1.8300e-01
1.6579e+10   1.8600e-01
1.6639e+10   1.8900e-01
1.6700e+10   1.9200e-01
1.6760e+10   1.9500e-01
1.6821e+10   1.9800e-01
1.6883e+10   2.0100e-01
1.6944e+10   2.0400e-01
1.7006e+10   2.0700e-01
1.7067e+10   2.1000e-01
1.7130e+10   2.1300e-01
1.7192e+10   2.1600e-01
1.7255e+10   2.1900e-01
1.7317e+10   2.2200e-01
1.7381e+10   2.2500e-01
1.7444e+10   2.2800e-01
1.7508e+10   2.3100e-01
1.7571e+10   2.3400e-01
1.7635e+10   2.3700e-01
1.7700e+10   2.4000e-01
1.7764e+10   2.4300e-01
1.7829e+10   2.4600e-01
1.7894e+10   2.4900e-01
1.7960e+10   2.5200e-01
1.8025e+10   2.5500e-01
1.8091e+10   2.5800e-01
1.8158e+10   2.6100e-01
1.8224e+10   2.6400e-01
1.8291e+10   2.6700e-01
1.8358e+10   2.7000e-01
1.8425e+10   2.7300e-01
1.8492e+10   2.7600e-01
1.8560e+10   2.7900e-01
1.8628e+10   2.8200e-01
1.8696e+10   2.8500e-01
1.8765e+10   2.8800e-01
1.8834e+10   2.9100e-01
1.8903e+10   2.9400e-01
1.8972e+10   2.9700e-01
1.9042e+10   3.0000e-01
1.9112e+10   3.0300e-01
1.9182e+10   3.0600e-01
1.9252e+10   3.0900e-01
1.9323e+10   3.1200e-01
1.9394e+10   3.1500e-01
1.9465e+10   3.1800e-01
1.9537e+10   3.2100e-01
1.9609e+10   3.2400e-01
1.9681e+10   3.2700e-01
1.9753e+10   3.3000e-01
