Dia: 1.2 m | Vel: 21.2 km/s | theta: 25.0 deg | Strength: 2.0e+05 Pa
Power (W)    Altitude (m)
7.0626e+08   8.9973e+04
7.0795e+08   8.9946e+04
7.0965e+08   8.9919e+04
7.1134e+08   8.9892e+04
7.1304e+08   8.9866e+04
7.1475e+08   8.9839e+04
7.1646e+08   8.9812e+04
7.1817e+08   8.9785e+04
7.1989e+08   8.9758e+04
7.2162e+08   8.9731e+04
7.2334e+08   8.9704e+04
7.2508e+08   8.9677e+04
7.2681e+08   8.9651e+04
7.2855e+08   8.9624e+04
7.3030e+08   8.9597e+04
7.3205e+08   8.9570e+04
7.3380e+08   8.9543e+04
7.3556e+08   8.9516e+04
7.3732e+08   8.9489e+04
7.3909e+08   8.9463e+04
7.4086e+08   8.9436e+04
7.4264e+08   8.9409e+04
7.4442e+08   8.9382e+04
7.4621e+08   8.9355e+04
7.4800e+08   8.9328e+04
7.4979e+08   8.9301e+04
7.5159e+08   8.9274e+04
7.5339e+08   8.9248e+04
7.5520e+08   8.9221e+04
7.5702e+08   8.9194e+04
7.5883e+08   8.9167e+04
7.6066e+08   8.9140e+04
7.6248e+08   8.9113e+04
7.6431e+08   8.9086e+04
7.6615e+08   8.9060e+04
7.6799e+08   8.9033e+04
7.6984e+08   8.9006e+04
7.7169e+08   8.8979e+04
7.7354e+08   8.8952e+04
7.7540e+08   8.8925e+04
7.7727e+08   8.8898e+04
7.7913e+08   8.8872e+04
7.8101e+08   8.8845e+04
7.8289e+08   8.8818e+04
7.8477e+08   8.8791e+04
7.8666e+08   8.8764e+04
7.8855e+08   8.8737e+04
7.9045e+08   8.8710e+04
7.9235e+08   8.8684e+04
7.9426e+08   8.8657e+04
7.9617e+08   8.8630e+04
7.9809e+08   8.8603e+04
8.0001e+08   8.8576e+04
8.0194e+08   8.8549e+04
8.0387e+08   8.8522e+04
8.0581e+08   8.8496e+04
8.0775e+08   8.8469e+04
8.0970e+08   8.8442e+04
8.1165e+08   8.8415e+04
8.1361e+08   8.8388e+04
8.1557e+08   8.8361e+04
8.1753e+08   8.8334e+04
8.1951e+08   8.8308e+04
8.2148e+08   8.8281e+04
8.2346e+08   8.8254e+04
8.2545e+08   8.8227e+04
8.2744e+08   8.8200e+04
8.2944e+08   8.8173e+04
8.3144e+08   8.8147e+04
8.3345e+08   8.8120e+04
8.3546e+08   8.8093e+04
8.3748e+08   8.8066e+04
8.3950e+08   8.8039e+04
8.4153e+08   8.8012e+04
8.4356e+08   8.7986e+04
8.4560e+08   8.7959e+04
8.4765e+08   8.7932e+04
8.4969e+08   8.7905e+04
8.5175e+08   8.7878e+04
8.5381e+08   8.7851e+04
8.5587e+08   8.7824e+04
8.5794e+08   8.7798e+04
8.6002e+08   8.7771e+04
8.6210e+08   8.7744e+04
8.6418e+08   8.7717e+04
8.6627e+08   8.7690e+04
8.6837e+08   8.7663e+04
8.7047e+08   8.7637e+04
8.7258e+08   8.7610e+04
8.7469e+08   8.7583e+04
8.7681e+08   8.7556e+04
8.7893e+08   8.7529e+04
8.8106e+08   8.7502e+04
8.8320e+08   8.7476e+04
8.8534e+08   8.7449e+04
8.8748e+08   8.7422e+04
8.8963e+08   8.7395e+04
8.9179e+08   8.7368e+04
8.9395e+08   8.7341e+04
8.9612e+08   8.7315e+04
8.9829e+08   8.7288e+04
9.0047e+08   8.7261e+04
9.0265e+08   8.7234e+04
9.0484e+08   8.7207e+04
9.0704e+08   8.7180e+04
9.0924e+08   8.7154e+04
9.1144e+08   8.7127e+04
9.1366e+08   8.7100e+04
9.1587e+08   8.7073e+04
9.1810e+08   8.7046e+04
9.2033e+08   8.7020e+04
9.2256e+08   8.6993e+04
9.2480e+08   8.6966e+04
9.2705e+08   8.6939e+04
9.2930e+08   8.6912e+04
9.3156e+08   8.6885e+04
9.3382e+08   8.6859e+04
9.3609e+08   8.6832e+04
9.3837e+08   8.6805e+04
9.4065e+08   8.6778e+04
9.4293e+08   8.6751e+04
9.4523e+08   8.6725e+04
9.4753e+08   8.6698e+04
9.4983e+08   8.6671e+04
9.5214e+08   8.6644e+04
9.5446e+08   8.6617e+04
9.5678e+08   8.6590e+04
9.5911e+08   8.6564e+04
9.6144e+08   8.6537e+04
9.6378e+08   8.6510e+04
9.6613e+08   8.6483e+04
9.6848e+08   8.6456e+04
9.7084e+08   8.6430e+04
9.7321e+08   8.6403e+04
9.7558e+08   8.6376e+04
9.7795e+08   8.6349e+04
9.8034e+08   8.6322e+04
9.8273e+08   8.6295e+04
9.8512e+08   8.6269e+04
9.8752e+08   8.6242e+04
9.8993e+08   8.6215e+04
9.9234e+08   8.6188e+04
9.9476e+08   8.6161e+04
9.9719e+08   8.6135e+04
9.9962e+08   8.6108e+04
1.0021e+09   8.6081e+04
1.0045e+09   8.6054e+04
1.0070e+09   8.6027e+04
1.0094e+09   8.6001e+04
1.0119e+09   8.5974e+04
1.0143e+09   8.5947e+04
1.0168e+09   8.5920e+04
1.0193e+09   8.5893e+04
1.0218e+09   8.5867e+04
1.0243e+09   8.5840e+04
1.0268e+09   8.5813e+04
1.0293e+09   8.5786e+04
1.0318e+09   8.5759e+04
