Dia: 1.2 m | Vel: 21.2 km/s | theta: 25.0 deg | Strength: 2.0e+05 Pa
Power (W)    Time (sec)
7.0626e+08   3.0000e-03
7.0795e+08   6.0000e-03
7.0965e+08   9.0000e-03
7.1134e+08   1.2000e-02
7.1304e+08   1.5000e-02
7.1475e+08   1.8000e-02
7.1646e+08   2.1000e-02
7.1817e+08   2.4000e-02
7.1989e+08   2.7000e-02
7.2162e+08   3.0000e-02
7.2334e+08   3.3000e-02
7.2508e+08   3.6000e-02
7.2681e+08   3.9000e-02
7.2855e+08   4.2000e-02
7.3030e+08   4.5000e-02
7.3205e+08   4.8000e-02
7.3380e+08   5.1000e-02
7.3556e+08   5.4000e-02
7.3732e+08   5.7000e-02
7.3909e+08   6.0000e-02
7.4086e+08   6.3000e-02
7.4264e+08   6.6000e-02
7.4442e+08   6.9000e-02
7.4621e+08   7.2000e-02
7.4800e+08   7.5000e-02
7.4979e+08   7.8000e-02
7.5159e+08   8.1000e-02
7.5339e+08   8.4000e-02
7.5520e+08   8.7000e-02
7.5702e+08   9.0000e-02
7.5883e+08   9.3000e-02
7.6066e+08   9.6000e-02
7.6248e+08   9.9000e-02
7.6431e+08   1.0200e-01
7.6615e+08   1.0500e-01
7.6799e+08   1.0800e-01
7.6984e+08   1.1100e-01
7.7169e+08   1.1400e-01
7.7354e+08   1.1700e-01
7.7540e+08   1.2000e-01
7.7727e+08   1.2300e-01
7.7913e+08   1.2600e-01
7.8101e+08   1.2900e-01
7.8289e+08   1.3200e-01
7.8477e+08   1.3500e-01
7.8666e+08   1.3800e-01
7.8855e+08   1.4100e-01
7.9045e+08   1.4400e-01
7.9235e+08   1.4700e-01
7.9426e+08   1.5000e-01
7.9617e+08   1.5300e-01
7.9809e+08   1.5600e-01
8.0001e+08   1.5900e-01
8.0194e+08   1.6200e-01
8.0387e+08   1.6500e-01
8.0581e+08   1.6800e-01
8.0775e+08   1.7100e-01
8.0970e+08   1.7400e-01
8.1165e+08   1.7700e-01
8.1361e+08   1.8000e-01
8.1557e+08   1.8300e-01
8.1753e+08   1.8600e-01
8.1951e+08   1.8900e-01
8.2148e+08   1.9200e-01
8.2346e+08   1.9500e-01
8.2545e+08   1.9800e-01
8.2744e+08   2.0100e-01
8.2944e+08   2.0400e-01
8.3144e+08   2.0700e-01
8.3345e+08   2.1000e-01
8.3546e+08   2.1300e-01
8.3748e+08   2.1600e-01
8.3950e+08   2.1900e-01
8.4153e+08   2.2200e-01
8.4356e+08   2.2500e-01
8.4560e+08   2.2800e-01
8.4765e+08   2.3100e-01
8.4969e+08   2.3400e-01
8.5175e+08   2.3700e-01
8.5381e+08   2.4000e-01
8.5587e+08   2.4300e-01
8.5794e+08   2.4600e-01
8.6002e+08   2.4900e-01
8.6210e+08   2.5200e-01
8.6418e+08   2.5500e-01
8.6627e+08   2.5800e-01
8.6837e+08   2.6100e-01
8.7047e+08   2.6400e-01
8.7258e+08   2.6700e-01
8.7469e+08   2.7000e-01
8.7681e+08   2.7300e-01
8.7893e+08   2.7600e-01
8.8106e+08   2.7900e-01
8.8320e+08   2.8200e-01
8.8534e+08   2.8500e-01
8.8748e+08   2.8800e-01
8.8963e+08   2.9100e-01
8.9179e+08   2.9400e-01
8.9395e+08   2.9700e-01
8.9612e+08   3.0000e-01
8.9829e+08   3.0300e-01
9.0047e+08   3.0600e-01
9.0265e+08   3.0900e-01
9.0484e+08   3.1200e-01
9.0704e+08   3.1500e-01
9.0924e+08   3.1800e-01
9.1144e+08   3.2100e-01
9.1366e+08   3.2400e-01
9.1587e+08   3.2700e-01
9.1810e+08   3.3000e-01
9.2033e+08   3.3300e-01
9.2256e+08   3.3600e-01
9.2480e+08   3.3900e-01
9.2705e+08   3.4200e-01
9.2930e+08   3.4500e-01
9.3156e+08   3.4800e-01
9.3382e+08   3.5100e-01
9.3609e+08   3.5400e-01
9.3837e+08   3.5700e-01
9.4065e+08   3.6000e-01
9.4293e+08   3.6300e-01
9.4523e+08   3.6600e-01
9.4753e+08   3.6900e-01
9.4983e+08   3.7200e-01
9.5214e+08   3.7500e-01
9.5446e+08   3.7800e-01
