Dia: 1.1 m | Vel: 33.5 km/s | theta: 22.5 deg | Strength: 1.0e+05 Pa
Power (W)    Altitude (m)
9.9949e+09   7.9962e+04
1.0031e+10   7.9923e+04
1.0067e+10   7.9885e+04
1.0103e+10   7.9846e+04
1.0140e+10   7.9808e+04
1.0176e+10   7.9769e+04
1.0213e+10   7.9731e+04
1.0250e+10   7.9692e+04
1.0287e+10   7.9654e+04
1.0324e+10   7.9615e+04
1.0361e+10   7.9577e+04
1.0399e+10   7.9539e+04
1.0436e+10   7.9500e+04
1.0474e+10   7.9462e+04
1.0512e+10   7.9423e+04
1.0550e+10   7.9385e+04
1.0588e+10   7.9346e+04
1.0626e+10   7.9308e+04
1.0665e+10   7.9270e+04
1.0703e+10   7.9231e+04
1.0742e+10   7.9193e+04
1.0781e+10   7.9154e+04
1.0820e+10   7.9116e+04
1.0859e+10   7.9077e+04
1.0898e+10   7.9039e+04
1.0938e+10   7.9000e+04
1.0977e+10   7.8962e+04
1.1017e+10   7.8924e+04
1.1057e+10   7.8885e+04
1.1097e+10   7.8847e+04
1.1137e+10   7.8808e+04
1.1177e+10   7.8770e+04
1.1218e+10   7.8732e+04
1.1258e+10   7.8693e+04
1.1299e+10   7.8655e+04
1.1340e+10   7.8616e+04
1.1381e+10   7.8578e+04
1.1422e+10   7.8539e+04
1.1464e+10   7.8501e+04
1.1505e+10   7.8463e+04
1.1547e+10   7.8424e+04
1.1589e+10   7.8386e+04
1.1631e+10   7.8347e+04
1.1673e+10   7.8309e+04
1.1715e+10   7.8271e+04
1.1758e+10   7.8232e+04
1.1800e+10   7.8194e+04
1.1843e+10   7.8155e+04
1.1886e+10   7.8117e+04
1.1929e+10   7.8079e+04
1.1972e+10   7.8040e+04
1.2016e+10   7.8002e+04
1.2059e+10   7.7964e+04
1.2103e+10   7.7925e+04
1.2147e+10   7.7887e+04
1.2191e+10   7.7848e+04
1.2235e+10   7.7810e+04
1.2280e+10   7.7772e+04
1.2324e+10   7.7733e+04
1.2369e+10   7.7695e+04
1.2414e+10   7.7656e+04
1.2459e+10   7.7618e+04
1.2504e+10   7.7580e+04
1.2550e+10   7.7541e+04
1.2595e+10   7.7503e+04
1.2641e+10   7.7465e+04
1.2687e+10   7.7426e+04
1.2733e+10   7.7388e+04
1.2779e+10   7.7349e+04
1.2826e+10   7.7311e+04
1.2872e+10   7.7273e+04
1.2919e+10   7.7234e+04
1.2966e+10   7.7196e+04
1.3013e+10   7.7158e+04
1.3060e+10   7.7119e+04
1.3108e+10   7.7081e+04
1.3156e+10   7.7043e+04
1.3203e+10   7.7004e+04
1.3251e+10   7.6966e+04
1.3300e+10   7.6927e+04
1.3348e+10   7.6889e+04
1.3397e+10   7.6851e+04
1.3445e+10   7.6812e+04
1.3494e+10   7.6774e+04
1.3543e+10   7.6736e+04
1.3593e+10   7.6697e+04
1.3642e+10   7.6659e+04
1.3692e+10   7.6621e+04
1.3742e+10   7.6582e+04
1.3792e+10   7.6544e+04
1.3842e+10   7.6506e+04
1.3892e+10   7.6467e+04
1.3943e+10   7.6429e+04
1.3993e+10   7.6391e+04
1.4044e+10   7.6352e+04
1.4096e+10   7.6314e+04
1.4147e+10   7.6276e+04
1.4198e+10   7.6237e+04
1.4250e+10   7.6199e+04
1.4302e+10   7.6161e+04
1.4354e+10   7.6122e+04
1.4406e+10   7.6084e+04
1.4459e+10   7.6046e+04
1.4512e+10   7.6007e+04
1.4565e+10   7.5969e+04
1.4618e+10   7.5931e+04
1.4671e+10   7.5892e+04
1.4724e+10   7.5854e+04
1.4778e+10   7.5816e+04
1.4832e+10   7.5778e+04
1.4886e+10   7.5739e+04
1.4940e+10   7.5701e+04
1.4995e+10   7.5663e+04
1.5049e+10   7.5624e+04
1.5104e+10   7.5586e+04
1.5159e+10   7.5548e+04
1.5215e+10   7.5509e+04
1.5270e+10   7.5471e+04
1.5326e+10   7.5433e+04
1.5382e+10   7.5394e+04
1.5438e+10   7.5356e+04
1.5494e+10   7.5318e+04
1.5551e+10   7.5280e+04
1.5607e+10   7.5241e+04
1.5664e+10   7.5203e+04
1.5721e+10   7.5165e+04
1.5779e+10   7.5126e+04
1.5836e+10   7.5088e+04
1.5894e+10   7.5050e+04
1.5952e+10   7.5012e+04
1.6010e+10   7.4973e+04
1.6069e+10   7.4935e+04
1.6127e+10   7.4897e+04
1.6186e+10   7.4858e+04
1.6245e+10   7.4820e+04
1.6305e+10   7.4782e+04
1.6364e+10   7.4744e+04
1.6424e+10   7.4705e+04
1.6484e+10   7.4667e+04
1.6544e+10   7.4629e+04
1.6604e+10   7.4590e+04
1.6665e+10   7.4552e+04
1.6726e+10   7.4514e+04
1.6787e+10   7.4476e+04
1.6848e+10   7.4437e+04
1.6910e+10   7.4399e+04
1.6971e+10   7.4361e+04
1.7033e+10   7.4323e+04
1.7096e+10   7.4284e+04
1.7158e+10   7.4246e+04
1.7221e+10   7.4208e+04
1.7284e+10   7.4170e+04
1.7347e+10   7.4131e+04
1.7410e+10   7.4093e+04
1.7474e+10   7.4055e+04
1.7537e+10   7.4017e+04
1.7601e+10   7.3978e+04
1.7666e+10   7.3940e+04
1.7730e+10   7.3902e+04
1.7795e+10   7.3864e+04
1.7860e+10   7.3825e+04
1.7925e+10   7.3787e+04
1.7991e+10   7.3749e+04
1.8056e+10   7.3711e+04
1.8122e+10   7.3672e+04
1.8189e+10   7.3634e+04
1.8255e+10   7.3596e+04
1.8322e+10   7.3558e+04
1.8389e+10   7.3519e+04
1.8456e+10   7.3481e+04
1.8523e+10   7.3443e+04
1.8591e+10   7.3405e+04
1.8659e+10   7.3366e+04
1.8727e+10   7.3328e+04
1.8795e+10   7.3290e+04
1.8864e+10   7.3252e+04
1.8933e+10   7.3214e+04
1.9002e+10   7.3175e+04
1.9071e+10   7.3137e+04
1.9141e+10   7.3099e+04
1.9211e+10   7.3061e+04
1.9281e+10   7.3022e+04
1.9352e+10   7.2984e+04
1.9422e+10   7.2946e+04
1.9493e+10   7.2908e+04
1.9564e+10   7.2870e+04
1.9636e+10   7.2831e+04
1.9708e+10   7.2793e+04
1.9779e+10   7.2755e+04
1.9852e+10   7.2717e+04
1.9924e+10   7.2679e+04
1.9997e+10   7.2640e+04
2.0070e+10   7.2602e+04
2.0143e+10   7.2564e+04
2.0217e+10   7.2526e+04
2.0291e+10   7.2488e+04
2.0365e+10   7.2449e+04
2.0439e+10   7.2411e+04
2.0514e+10   7.2373e+04
2.0589e+10   7.2335e+04
2.0664e+10   7.2297e+04
2.0739e+10   7.2258e+04
2.0815e+10   7.2220e+04
2.0891e+10   7.2182e+04
2.0967e+10   7.2144e+04
2.1044e+10   7.2106e+04
2.1121e+10   7.2068e+04
2.1198e+10   7.2029e+04
2.1275e+10   7.1991e+04
2.1353e+10   7.1953e+04
2.1431e+10   7.1915e+04
2.1509e+10   7.1877e+04
2.1587e+10   7.1838e+04
2.1666e+10   7.1800e+04
2.1745e+10   7.1762e+04
2.1824e+10   7.1724e+04
2.1904e+10   7.1686e+04
2.1984e+10   7.1648e+04
2.2064e+10   7.1609e+04
2.2145e+10   7.1571e+04
2.2225e+10   7.1533e+04
2.2306e+10   7.1495e+04
2.2388e+10   7.1457e+04
2.2469e+10   7.1419e+04
2.2551e+10   7.1380e+04
2.2633e+10   7.1342e+04
2.2716e+10   7.1304e+04
2.2799e+10   7.1266e+04
2.2882e+10   7.1228e+04
2.2965e+10   7.1190e+04
2.3049e+10   7.1152e+04
2.3133e+10   7.1113e+04
2.3217e+10   7.1075e+04
2.3302e+10   7.1037e+04
2.3387e+10   7.0999e+04
2.3472e+10   7.0961e+04
2.3557e+10   7.0923e+04
2.3643e+10   7.0885e+04
2.3729e+10   7.0846e+04
2.3816e+10   7.0808e+04
2.3903e+10   7.0770e+04
2.3990e+10   7.0732e+04
2.4077e+10   7.0694e+04
2.4165e+10   7.0656e+04
