Dia: 1.1 m | Vel: 33.5 km/s | theta: 22.5 deg | Strength: 1.0e+05 Pa
Power (W)    Time (sec)
9.9949e+09   3.0000e-03
1.0031e+10   6.0000e-03
1.0067e+10   9.0000e-03
1.0103e+10   1.2000e-02
1.0140e+10   1.5000e-02
1.0176e+10   1.8000e-02
1.0213e+10   2.1000e-02
1.0250e+10   2.4000e-02
1.0287e+10   2.7000e-02
1.0324e+10   3.0000e-02
1.0361e+10   3.3000e-02
1.0399e+10   3.6000e-02
1.0436e+10   3.9000e-02
1.0474e+10   4.2000e-02
1.0512e+10   4.5000e-02
1.0550e+10   4.8000e-02
1.0588e+10   5.1000e-02
1.0626e+10   5.4000e-02
1.0665e+10   5.7000e-02
1.0703e+10   6.0000e-02
1.0742e+10   6.3000e-02
1.0781e+10   6.6000e-02
1.0820e+10   6.9000e-02
1.0859e+10   7.2000e-02
1.0898e+10   7.5000e-02
1.0938e+10   7.8000e-02
1.0977e+10   8.1000e-02
1.1017e+10   8.4000e-02
1.1057e+10   8.7000e-02
1.1097e+10   9.0000e-02
1.1137e+10   9.3000e-02
1.1177e+10   9.6000e-02
1.1218e+10   9.9000e-02
1.1258e+10   1.0200e-01
1.1299e+10   1.0500e-01
1.1340e+10   1.0800e-01
1.1381e+10   1.1100e-01
1.1422e+10   1.1400e-01
1.1464e+10   1.1700e-01
1.1505e+10   1.2000e-01
1.1547e+10   1.2300e-01
1.1589e+10   1.2600e-01
1.1631e+10   1.2900e-01
1.1673e+10   1.3200e-01
1.1715e+10   1.3500e-01
1.1758e+10   1.3800e-01
1.1800e+10   1.4100e-01
1.1843e+10   1.4400e-01
1.1886e+10   1.4700e-01
1.1929e+10   1.5000e-01
1.1972e+10   1.5300e-01
1.2016e+10   1.5600e-01
1.2059e+10   1.5900e-01
1.2103e+10   1.6200e-01
1.2147e+10   1.6500e-01
1.2191e+10   1.6800e-01
1.2235e+10   1.7100e-01
1.2280e+10   1.7400e-01
1.2324e+10   1.7700e-01
1.2369e+10   1.8000e-01
1.2414e+10   1.8300e-01
1.2459e+10   1.8600e-01
1.2504e+10   1.8900e-01
1.2550e+10   1.9200e-01
1.2595e+10   1.9500e-01
1.2641e+10   1.9800e-01
1.2687e+10   2.0100e-01
1.2733e+10   2.0400e-01
1.2779e+10   2.0700e-01
1.2826e+10   2.1000e-01
1.2872e+10   2.1300e-01
1.2919e+10   2.1600e-01
1.2966e+10   2.1900e-01
1.3013e+10   2.2200e-01
1.3060e+10   2.2500e-01
1.3108e+10   2.2800e-01
1.3156e+10   2.3100e-01
1.3203e+10   2.3400e-01
1.3251e+10   2.3700e-01
1.3300e+10   2.4000e-01
1.3348e+10   2.4300e-01
1.3397e+10   2.4600e-01
1.3445e+10   2.4900e-01
1.3494e+10   2.5200e-01
1.3543e+10   2.5500e-01
1.3593e+10   2.5800e-01
1.3642e+10   2.6100e-01
1.3692e+10   2.6400e-01
1.3742e+10   2.6700e-01
1.3792e+10   2.7000e-01
1.3842e+10   2.7300e-01
1.3892e+10   2.7600e-01
1.3943e+10   2.7900e-01
1.3993e+10   2.8200e-01
1.4044e+10   2.8500e-01
1.4096e+10   2.8800e-01
1.4147e+10   2.9100e-01
1.4198e+10   2.9400e-01
1.4250e+10   2.9700e-01
1.4302e+10   3.0000e-01
1.4354e+10   3.0300e-01
1.4406e+10   3.0600e-01
1.4459e+10   3.0900e-01
1.4512e+10   3.1200e-01
1.4565e+10   3.1500e-01
1.4618e+10   3.1800e-01
1.4671e+10   3.2100e-01
1.4724e+10   3.2400e-01
1.4778e+10   3.2700e-01
1.4832e+10   3.3000e-01
1.4886e+10   3.3300e-01
1.4940e+10   3.3600e-01
1.4995e+10   3.3900e-01
1.5049e+10   3.4200e-01
1.5104e+10   3.4500e-01
1.5159e+10   3.4800e-01
1.5215e+10   3.5100e-01
1.5270e+10   3.5400e-01
1.5326e+10   3.5700e-01
1.5382e+10   3.6000e-01
1.5438e+10   3.6300e-01
1.5494e+10   3.6600e-01
1.5551e+10   3.6900e-01
1.5607e+10   3.7200e-01
1.5664e+10   3.7500e-01
1.5721e+10   3.7800e-01
1.5779e+10   3.8100e-01
1.5836e+10   3.8400e-01
1.5894e+10   3.8700e-01
1.5952e+10   3.9000e-01
1.6010e+10   3.9300e-01
1.6069e+10   3.9600e-01
1.6127e+10   3.9900e-01
1.6186e+10   4.0200e-01
1.6245e+10   4.0500e-01
1.6305e+10   4.0800e-01
1.6364e+10   4.1100e-01
1.6424e+10   4.1400e-01
1.6484e+10   4.1700e-01
1.6544e+10   4.2000e-01
1.6604e+10   4.2300e-01
1.6665e+10   4.2600e-01
1.6726e+10   4.2900e-01
1.6787e+10   4.3200e-01
1.6848e+10   4.3500e-01
1.6910e+10   4.3800e-01
1.6971e+10   4.4100e-01
1.7033e+10   4.4400e-01
1.7096e+10   4.4700e-01
1.7158e+10   4.5000e-01
1.7221e+10   4.5300e-01
1.7284e+10   4.5600e-01
1.7347e+10   4.5900e-01
1.7410e+10   4.6200e-01
1.7474e+10   4.6500e-01
1.7537e+10   4.6800e-01
1.7601e+10   4.7100e-01
1.7666e+10   4.7400e-01
1.7730e+10   4.7700e-01
1.7795e+10   4.8000e-01
1.7860e+10   4.8300e-01
1.7925e+10   4.8600e-01
1.7991e+10   4.8900e-01
1.8056e+10   4.9200e-01
1.8122e+10   4.9500e-01
1.8189e+10   4.9800e-01
1.8255e+10   5.0100e-01
1.8322e+10   5.0400e-01
1.8389e+10   5.0700e-01
1.8456e+10   5.1000e-01
1.8523e+10   5.1300e-01
1.8591e+10   5.1600e-01
1.8659e+10   5.1900e-01
1.8727e+10   5.2200e-01
1.8795e+10   5.2500e-01
1.8864e+10   5.2800e-01
1.8933e+10   5.3100e-01
1.9002e+10   5.3400e-01
1.9071e+10   5.3700e-01
1.9141e+10   5.4000e-01
1.9211e+10   5.4300e-01
1.9281e+10   5.4600e-01
1.9352e+10   5.4900e-01
1.9422e+10   5.5200e-01
1.9493e+10   5.5500e-01
1.9564e+10   5.5800e-01
1.9636e+10   5.6100e-01
1.9708e+10   5.6400e-01
1.9779e+10   5.6700e-01
1.9852e+10   5.7000e-01
1.9924e+10   5.7300e-01
1.9997e+10   5.7600e-01
2.0070e+10   5.7900e-01
2.0143e+10   5.8200e-01
2.0217e+10   5.8500e-01
2.0291e+10   5.8800e-01
2.0365e+10   5.9100e-01
2.0439e+10   5.9400e-01
2.0514e+10   5.9700e-01
2.0589e+10   6.0000e-01
2.0664e+10   6.0300e-01
2.0739e+10   6.0600e-01
2.0815e+10   6.0900e-01
2.0891e+10   6.1200e-01
2.0967e+10   6.1500e-01
2.1044e+10   6.1800e-01
2.1121e+10   6.2100e-01
2.1198e+10   6.2400e-01
2.1275e+10   6.2700e-01
2.1353e+10   6.3000e-01
2.1431e+10   6.3300e-01
2.1509e+10   6.3600e-01
2.1587e+10   6.3900e-01
2.1666e+10   6.4200e-01
2.1745e+10   6.4500e-01
2.1824e+10   6.4800e-01
2.1904e+10   6.5100e-01
2.1984e+10   6.5400e-01
2.2064e+10   6.5700e-01
2.2145e+10   6.6000e-01
2.2225e+10   6.6300e-01
