Dia: 19.0 m | Vel: 19.0 km/s | theta: 18.3 deg | Strength: 5.0e+05 Pa
Power (W)    Altitude (m)
4.2645e+09   9.9982e+04
4.2738e+09   9.9964e+04
4.2831e+09   9.9946e+04
4.2924e+09   9.9928e+04
4.3018e+09   9.9911e+04
4.3112e+09   9.9893e+04
4.3206e+09   9.9875e+04
4.3301e+09   9.9857e+04
4.3395e+09   9.9839e+04
4.3490e+09   9.9821e+04
4.3585e+09   9.9803e+04
4.3680e+09   9.9785e+04
4.3776e+09   9.9767e+04
4.3871e+09   9.9749e+04
4.3967e+09   9.9732e+04
4.4063e+09   9.9714e+04
4.4160e+09   9.9696e+04
4.4256e+09   9.9678e+04
4.4353e+09   9.9660e+04
4.4450e+09   9.9642e+04
4.4547e+09   9.9624e+04
4.4644e+09   9.9606e+04
4.4742e+09   9.9588e+04
4.4840e+09   9.9571e+04
4.4938e+09   9.9553e+04
4.5036e+09   9.9535e+04
4.5135e+09   9.9517e+04
4.5234e+09   9.9499e+04
4.5333e+09   9.9481e+04
4.5432e+09   9.9463e+04
4.5531e+09   9.9445e+04
4.5631e+09   9.9427e+04
4.5731e+09   9.9410e+04
4.5831e+09   9.9392e+04
4.5931e+09   9.9374e+04
4.6032e+09   9.9356e+04
4.6133e+09   9.9338e+04
4.6234e+09   9.9320e+04
4.6335e+09   9.9302e+04
4.6436e+09   9.9284e+04
4.6538e+09   9.9267e+04
4.6640e+09   9.9249e+04
4.6742e+09   9.9231e+04
4.6845e+09   9.9213e+04
4.6947e+09   9.9195e+04
4.7050e+09   9.9177e+04
4.7154e+09   9.9159e+04
4.7257e+09   9.9141e+04
4.7361e+09   9.9124e+04
4.7464e+09   9.9106e+04
4.7568e+09   9.9088e+04
4.7673e+09   9.9070e+04
4.7777e+09   9.9052e+04
4.7882e+09   9.9034e+04
4.7987e+09   9.9016e+04
4.8092e+09   9.8998e+04
4.8198e+09   9.8981e+04
4.8304e+09   9.8963e+04
4.8410e+09   9.8945e+04
4.8516e+09   9.8927e+04
4.8623e+09   9.8909e+04
4.8729e+09   9.8891e+04
4.8836e+09   9.8873e+04
4.8944e+09   9.8855e+04
4.9051e+09   9.8838e+04
4.9159e+09   9.8820e+04
4.9267e+09   9.8802e+04
4.9375e+09   9.8784e+04
4.9483e+09   9.8766e+04
