Dia: 19.0 m | Vel: 19.0 km/s | theta: 18.3 deg | Strength: 5.0e+05 Pa
Power (W)    Time (sec)
5.5076e+09   3.0000e-03
5.5192e+09   6.0000e-03
5.5308e+09   9.0000e-03
5.5425e+09   1.2000e-02
5.5542e+09   1.5000e-02
5.5659e+09   1.8000e-02
5.5776e+09   2.1000e-02
5.5894e+09   2.4000e-02
5.6012e+09   2.7000e-02
5.6130e+09   3.0000e-02
5.6248e+09   3.3000e-02
5.6367e+09   3.6000e-02
5.6486e+09   3.9000e-02
5.6605e+09   4.2000e-02
5.6724e+09   4.5000e-02
5.6844e+09   4.8000e-02
5.6964e+09   5.1000e-02
5.7084e+09   5.4000e-02
5.7205e+09   5.7000e-02
5.7325e+09   6.0000e-02
5.7447e+09   6.3000e-02
5.7568e+09   6.6000e-02
5.7689e+09   6.9000e-02
5.7811e+09   7.2000e-02
5.7933e+09   7.5000e-02
5.8056e+09   7.8000e-02
5.8178e+09   8.1000e-02
5.8301e+09   8.4000e-02
5.8424e+09   8.7000e-02
5.8548e+09   9.0000e-02
5.8672e+09   9.3000e-02
5.8796e+09   9.6000e-02
5.8920e+09   9.9000e-02
5.9044e+09   1.0200e-01
5.9169e+09   1.0500e-01
5.9294e+09   1.0800e-01
5.9420e+09   1.1100e-01
5.9545e+09   1.1400e-01
5.9671e+09   1.1700e-01
5.9797e+09   1.2000e-01
5.9924e+09   1.2300e-01
6.0051e+09   1.2600e-01
6.0178e+09   1.2900e-01
6.0305e+09   1.3200e-01
6.0433e+09   1.3500e-01
6.0561e+09   1.3800e-01
6.0689e+09   1.4100e-01
6.0817e+09   1.4400e-01
6.0946e+09   1.4700e-01
6.1075e+09   1.5000e-01
6.1204e+09   1.5300e-01
6.1334e+09   1.5600e-01
6.1464e+09   1.5900e-01
6.1594e+09   1.6200e-01
6.1724e+09   1.6500e-01
6.1855e+09   1.6800e-01
6.1986e+09   1.7100e-01
6.2117e+09   1.7400e-01
6.2249e+09   1.7700e-01
6.2381e+09   1.8000e-01
6.2513e+09   1.8300e-01
6.2646e+09   1.8600e-01
6.2779e+09   1.8900e-01
6.2912e+09   1.9200e-01
6.3045e+09   1.9500e-01
6.3179e+09   1.9800e-01
6.3313e+09   2.0100e-01
6.3447e+09   2.0400e-01
6.3581e+09   2.0700e-01
6.3716e+09   2.1000e-01
6.3852e+09   2.1300e-01
6.3987e+09   2.1600e-01
6.4123e+09   2.1900e-01
6.4259e+09   2.2200e-01
6.4395e+09   2.2500e-01
6.4532e+09   2.2800e-01
6.4669e+09   2.3100e-01
6.4806e+09   2.3400e-01
6.4944e+09   2.3700e-01
6.5082e+09   2.4000e-01
6.5220e+09   2.4300e-01
6.5358e+09   2.4600e-01
6.5497e+09   2.4900e-01
6.5636e+09   2.5200e-01
6.5776e+09   2.5500e-01
6.5915e+09   2.5800e-01
6.6056e+09   2.6100e-01
6.6196e+09   2.6400e-01
6.6337e+09   2.6700e-01
6.6478e+09   2.7000e-01
6.6619e+09   2.7300e-01
6.6760e+09   2.7600e-01
6.6902e+09   2.7900e-01
6.7045e+09   2.8200e-01
6.7187e+09   2.8500e-01
6.7330e+09   2.8800e-01
6.7473e+09   2.9100e-01
6.7617e+09   2.9400e-01
6.7761e+09   2.9700e-01
6.7905e+09   3.0000e-01
6.8049e+09   3.0300e-01
6.8194e+09   3.0600e-01
6.8339e+09   3.0900e-01
6.8485e+09   3.1200e-01
6.8630e+09   3.1500e-01
6.8776e+09   3.1800e-01
6.8923e+09   3.2100e-01
6.9070e+09   3.2400e-01
6.9217e+09   3.2700e-01
6.9364e+09   3.3000e-01
6.9512e+09   3.3300e-01
6.9660e+09   3.3600e-01
6.9808e+09   3.3900e-01
6.9957e+09   3.4200e-01
7.0106e+09   3.4500e-01
7.0255e+09   3.4800e-01
7.0405e+09   3.5100e-01
7.0555e+09   3.5400e-01
7.0706e+09   3.5700e-01
7.0856e+09   3.6000e-01
7.1007e+09   3.6300e-01
7.1159e+09   3.6600e-01
7.1310e+09   3.6900e-01
7.1463e+09   3.7200e-01
7.1615e+09   3.7500e-01
7.1768e+09   3.7800e-01
7.1921e+09   3.8100e-01
7.2074e+09   3.8400e-01
7.2228e+09   3.8700e-01
7.2382e+09   3.9000e-01
7.2537e+09   3.9300e-01
7.2691e+09   3.9600e-01
7.2847e+09   3.9900e-01
7.3002e+09   4.0200e-01
7.3158e+09   4.0500e-01
7.3314e+09   4.0800e-01
7.3471e+09   4.1100e-01
7.3627e+09   4.1400e-01
7.3785e+09   4.1700e-01
7.3942e+09   4.2000e-01
7.4100e+09   4.2300e-01
7.4259e+09   4.2600e-01
7.4417e+09   4.2900e-01
7.4576e+09   4.3200e-01
7.4736e+09   4.3500e-01
7.4895e+09   4.3800e-01
7.5055e+09   4.4100e-01
7.5216e+09   4.4400e-01
7.5377e+09   4.4700e-01
7.5538e+09   4.5000e-01
7.5699e+09   4.5300e-01
7.5861e+09   4.5600e-01
7.6023e+09   4.5900e-01
7.6186e+09   4.6200e-01
7.6349e+09   4.6500e-01
7.6512e+09   4.6800e-01
7.6676e+09   4.7100e-01
7.6840e+09   4.7400e-01
7.7004e+09   4.7700e-01
7.7169e+09   4.8000e-01
7.7334e+09   4.8300e-01
7.7500e+09   4.8600e-01
7.7666e+09   4.8900e-01
7.7832e+09   4.9200e-01
7.7999e+09   4.9500e-01
7.8166e+09   4.9800e-01
7.8333e+09   5.0100e-01
