Dia: 1.8 m | Vel: 17.5 km/s | theta: 31.9 deg | Strength: 3.0e+05 Pa
Power (W)    Altitude (m)
1.0673e+08   9.9972e+04
1.0697e+08   9.9945e+04
1.0722e+08   9.9917e+04
1.0747e+08   9.9889e+04
1.0772e+08   9.9861e+04
1.0798e+08   9.9834e+04
1.0823e+08   9.9806e+04
1.0848e+08   9.9778e+04
1.0873e+08   9.9750e+04
1.0899e+08   9.9723e+04
1.0924e+08   9.9695e+04
1.0950e+08   9.9667e+04
1.0975e+08   9.9639e+04
1.1001e+08   9.9612e+04
1.1027e+08   9.9584e+04
1.1053e+08   9.9556e+04
1.1078e+08   9.9528e+04
1.1104e+08   9.9501e+04
1.1130e+08   9.9473e+04
1.1156e+08   9.9445e+04
1.1182e+08   9.9417e+04
1.1209e+08   9.9390e+04
1.1235e+08   9.9362e+04
1.1261e+08   9.9334e+04
1.1287e+08   9.9307e+04
1.1314e+08   9.9279e+04
1.1340e+08   9.9251e+04
1.1367e+08   9.9223e+04
1.1394e+08   9.9196e+04
1.1420e+08   9.9168e+04
1.1447e+08   9.9140e+04
1.1474e+08   9.9112e+04
1.1501e+08   9.9085e+04
1.1528e+08   9.9057e+04
1.1555e+08   9.9029e+04
1.1582e+08   9.9001e+04
1.1609e+08   9.8974e+04
1.1636e+08   9.8946e+04
1.1664e+08   9.8918e+04
1.1691e+08   9.8891e+04
1.1719e+08   9.8863e+04
1.1746e+08   9.8835e+04
1.1774e+08   9.8807e+04
1.1801e+08   9.8780e+04
1.1829e+08   9.8752e+04
1.1857e+08   9.8724e+04
1.1885e+08   9.8696e+04
1.1913e+08   9.8669e+04
1.1941e+08   9.8641e+04
1.1969e+08   9.8613e+04
1.1997e+08   9.8585e+04
1.2025e+08   9.8558e+04
1.2053e+08   9.8530e+04
1.2082e+08   9.8502e+04
1.2110e+08   9.8475e+04
1.2139e+08   9.8447e+04
1.2167e+08   9.8419e+04
1.2196e+08   9.8391e+04
1.2225e+08   9.8364e+04
1.2254e+08   9.8336e+04
1.2282e+08   9.8308e+04
1.2311e+08   9.8280e+04
1.2340e+08   9.8253e+04
1.2370e+08   9.8225e+04
1.2399e+08   9.8197e+04
1.2428e+08   9.8170e+04
1.2457e+08   9.8142e+04
1.2487e+08   9.8114e+04
1.2516e+08   9.8086e+04
1.2546e+08   9.8059e+04
1.2575e+08   9.8031e+04
1.2605e+08   9.8003e+04
1.2635e+08   9.7976e+04
1.2665e+08   9.7948e+04
1.2695e+08   9.7920e+04
1.2725e+08   9.7892e+04
1.2755e+08   9.7865e+04
1.2785e+08   9.7837e+04
1.2815e+08   9.7809e+04
1.2845e+08   9.7781e+04
1.2876e+08   9.7754e+04
1.2906e+08   9.7726e+04
1.2937e+08   9.7698e+04
1.2967e+08   9.7671e+04
1.2998e+08   9.7643e+04
1.3029e+08   9.7615e+04
1.3060e+08   9.7587e+04
1.3091e+08   9.7560e+04
1.3122e+08   9.7532e+04
1.3153e+08   9.7504e+04
1.3184e+08   9.7477e+04
1.3215e+08   9.7449e+04
1.3246e+08   9.7421e+04
1.3278e+08   9.7393e+04
1.3309e+08   9.7366e+04
1.3341e+08   9.7338e+04
1.3372e+08   9.7310e+04
1.3404e+08   9.7283e+04
1.3436e+08   9.7255e+04
1.3468e+08   9.7227e+04
1.3500e+08   9.7199e+04
1.3532e+08   9.7172e+04
1.3564e+08   9.7144e+04
1.3596e+08   9.7116e+04
1.3628e+08   9.7089e+04
1.3661e+08   9.7061e+04
1.3693e+08   9.7033e+04
1.3726e+08   9.7005e+04
1.3758e+08   9.6978e+04
1.3791e+08   9.6950e+04
1.3824e+08   9.6922e+04
1.3857e+08   9.6895e+04
1.3890e+08   9.6867e+04
1.3923e+08   9.6839e+04
1.3956e+08   9.6811e+04
1.3989e+08   9.6784e+04
1.4023e+08   9.6756e+04
1.4056e+08   9.6728e+04
1.4089e+08   9.6701e+04
1.4123e+08   9.6673e+04
1.4157e+08   9.6645e+04
1.4190e+08   9.6617e+04
1.4224e+08   9.6590e+04
1.4258e+08   9.6562e+04
1.4292e+08   9.6534e+04
1.4326e+08   9.6507e+04
1.4360e+08   9.6479e+04
1.4394e+08   9.6451e+04
1.4429e+08   9.6424e+04
1.4463e+08   9.6396e+04
1.4498e+08   9.6368e+04
1.4532e+08   9.6340e+04
1.4567e+08   9.6313e+04
1.4602e+08   9.6285e+04
1.4637e+08   9.6257e+04
1.4672e+08   9.6230e+04
1.4707e+08   9.6202e+04
1.4742e+08   9.6174e+04
1.4777e+08   9.6146e+04
1.4812e+08   9.6119e+04
1.4848e+08   9.6091e+04
