Dia: 1.8 m | Vel: 17.5 km/s | theta: 31.9 deg | Strength: 2.5e+05 Pa
Power (W)    Time (sec)
6.4918e+08   3.0000e-03
6.5092e+08   6.0000e-03
6.5267e+08   9.0000e-03
6.5443e+08   1.2000e-02
6.5619e+08   1.5000e-02
6.5795e+08   1.8000e-02
6.5972e+08   2.1000e-02
6.6149e+08   2.4000e-02
6.6327e+08   2.7000e-02
6.6506e+08   3.0000e-02
6.6685e+08   3.3000e-02
6.6864e+08   3.6000e-02
6.7044e+08   3.9000e-02
6.7225e+08   4.2000e-02
6.7406e+08   4.5000e-02
6.7587e+08   4.8000e-02
6.7770e+08   5.1000e-02
6.7952e+08   5.4000e-02
6.8135e+08   5.7000e-02
6.8319e+08   6.0000e-02
6.8503e+08   6.3000e-02
6.8688e+08   6.6000e-02
6.8873e+08   6.9000e-02
6.9059e+08   7.2000e-02
6.9245e+08   7.5000e-02
6.9432e+08   7.8000e-02
6.9620e+08   8.1000e-02
6.9808e+08   8.4000e-02
6.9996e+08   8.7000e-02
7.0185e+08   9.0000e-02
7.0375e+08   9.3000e-02
7.0565e+08   9.6000e-02
7.0756e+08   9.9000e-02
7.0947e+08   1.0200e-01
7.1139e+08   1.0500e-01
7.1331e+08   1.0800e-01
7.1524e+08   1.1100e-01
7.1718e+08   1.1400e-01
7.1912e+08   1.1700e-01
7.2106e+08   1.2000e-01
7.2301e+08   1.2300e-01
7.2497e+08   1.2600e-01
7.2694e+08   1.2900e-01
7.2890e+08   1.3200e-01
7.3088e+08   1.3500e-01
7.3286e+08   1.3800e-01
7.3485e+08   1.4100e-01
7.3684e+08   1.4400e-01
7.3883e+08   1.4700e-01
7.4084e+08   1.5000e-01
7.4285e+08   1.5300e-01
7.4486e+08   1.5600e-01
7.4688e+08   1.5900e-01
7.4891e+08   1.6200e-01
7.5094e+08   1.6500e-01
7.5298e+08   1.6800e-01
7.5503e+08   1.7100e-01
7.5708e+08   1.7400e-01
7.5913e+08   1.7700e-01
7.6120e+08   1.8000e-01
7.6326e+08   1.8300e-01
7.6534e+08   1.8600e-01
7.6742e+08   1.8900e-01
7.6951e+08   1.9200e-01
7.7160e+08   1.9500e-01
7.7370e+08   1.9800e-01
7.7580e+08   2.0100e-01
7.7791e+08   2.0400e-01
7.8003e+08   2.0700e-01
7.8215e+08   2.1000e-01
7.8428e+08   2.1300e-01
7.8642e+08   2.1600e-01
7.8856e+08   2.1900e-01
7.9071e+08   2.2200e-01
7.9286e+08   2.2500e-01
7.9502e+08   2.2800e-01
7.9719e+08   2.3100e-01
7.9936e+08   2.3400e-01
8.0154e+08   2.3700e-01
8.0373e+08   2.4000e-01
8.0592e+08   2.4300e-01
8.0812e+08   2.4600e-01
8.1033e+08   2.4900e-01
8.1254e+08   2.5200e-01
8.1476e+08   2.5500e-01
8.1698e+08   2.5800e-01
8.1921e+08   2.6100e-01
8.2145e+08   2.6400e-01
8.2369e+08   2.6700e-01
8.2595e+08   2.7000e-01
8.2820e+08   2.7300e-01
8.3047e+08   2.7600e-01
8.3274e+08   2.7900e-01
8.3502e+08   2.8200e-01
8.3730e+08   2.8500e-01
8.3959e+08   2.8800e-01
8.4189e+08   2.9100e-01
8.4419e+08   2.9400e-01
8.4650e+08   2.9700e-01
8.4882e+08   3.0000e-01
8.5114e+08   3.0300e-01
8.5348e+08   3.0600e-01
8.5581e+08   3.0900e-01
8.5816e+08   3.1200e-01
8.6051e+08   3.1500e-01
8.6287e+08   3.1800e-01
8.6524e+08   3.2100e-01
8.6761e+08   3.2400e-01
8.6999e+08   3.2700e-01
8.7237e+08   3.3000e-01
8.7477e+08   3.3300e-01
8.7717e+08   3.3600e-01
8.7958e+08   3.3900e-01
8.8199e+08   3.4200e-01
8.8441e+08   3.4500e-01
8.8684e+08   3.4800e-01
8.8928e+08   3.5100e-01
8.9172e+08   3.5400e-01
8.9417e+08   3.5700e-01
8.9663e+08   3.6000e-01
8.9909e+08   3.6300e-01
9.0157e+08   3.6600e-01
9.0405e+08   3.6900e-01
9.0653e+08   3.7200e-01
9.0903e+08   3.7500e-01
9.1153e+08   3.7800e-01
9.1404e+08   3.8100e-01
9.1655e+08   3.8400e-01
9.1908e+08   3.8700e-01
9.2161e+08   3.9000e-01
9.2415e+08   3.9300e-01
9.2669e+08   3.9600e-01
9.2925e+08   3.9900e-01
9.3181e+08   4.0200e-01
9.3438e+08   4.0500e-01
9.3695e+08   4.0800e-01
9.3954e+08   4.1100e-01
9.4213e+08   4.1400e-01
9.4473e+08   4.1700e-01
9.4733e+08   4.2000e-01
9.4995e+08   4.2300e-01
9.5257e+08   4.2600e-01
9.5520e+08   4.2900e-01
9.5784e+08   4.3200e-01
9.6048e+08   4.3500e-01
9.6314e+08   4.3800e-01
9.6580e+08   4.4100e-01
9.6847e+08   4.4400e-01
9.7114e+08   4.4700e-01
9.7383e+08   4.5000e-01
9.7652e+08   4.5300e-01
9.7922e+08   4.5600e-01
9.8193e+08   4.5900e-01
9.8465e+08   4.6200e-01
9.8737e+08   4.6500e-01
9.9010e+08   4.6800e-01
9.9285e+08   4.7100e-01
9.9559e+08   4.7400e-01
9.9835e+08   4.7700e-01
1.0011e+09   4.8000e-01
1.0039e+09   4.8300e-01
1.0067e+09   4.8600e-01
1.0095e+09   4.8900e-01
1.0123e+09   4.9200e-01
1.0151e+09   4.9500e-01
1.0179e+09   4.9800e-01
1.0207e+09   5.0100e-01
1.0235e+09   5.0400e-01
1.0264e+09   5.0700e-01
1.0292e+09   5.1000e-01
1.0321e+09   5.1300e-01
1.0349e+09   5.1600e-01
1.0378e+09   5.1900e-01
1.0407e+09   5.2200e-01
1.0436e+09   5.2500e-01
1.0465e+09   5.2800e-01
1.0494e+09   5.3100e-01
1.0523e+09   5.3400e-01
1.0552e+09   5.3700e-01
1.0582e+09   5.4000e-01
1.0611e+09   5.4300e-01
1.0641e+09   5.4600e-01
1.0670e+09   5.4900e-01
1.0700e+09   5.5200e-01
1.0730e+09   5.5500e-01
1.0760e+09   5.5800e-01
1.0790e+09   5.6100e-01
1.0820e+09   5.6400e-01
1.0850e+09   5.6700e-01
1.0880e+09   5.7000e-01
1.0910e+09   5.7300e-01
1.0941e+09   5.7600e-01
1.0971e+09   5.7900e-01
1.1002e+09   5.8200e-01
1.1033e+09   5.8500e-01
1.1063e+09   5.8800e-01
1.1094e+09   5.9100e-01
1.1125e+09   5.9400e-01
1.1156e+09   5.9700e-01
1.1187e+09   6.0000e-01
1.1219e+09   6.0300e-01
1.1250e+09   6.0600e-01
1.1281e+09   6.0900e-01
1.1313e+09   6.1200e-01
1.1344e+09   6.1500e-01
1.1376e+09   6.1800e-01
1.1408e+09   6.2100e-01
1.1440e+09   6.2400e-01
1.1472e+09   6.2700e-01
1.1504e+09   6.3000e-01
1.1536e+09   6.3300e-01
1.1568e+09   6.3600e-01
1.1601e+09   6.3900e-01
1.1633e+09   6.4200e-01
1.1666e+09   6.4500e-01
1.1698e+09   6.4800e-01
1.1731e+09   6.5100e-01
1.1764e+09   6.5400e-01
1.1797e+09   6.5700e-01
1.1830e+09   6.6000e-01
1.1863e+09   6.6300e-01
1.1896e+09   6.6600e-01
1.1930e+09   6.6900e-01
1.1963e+09   6.7200e-01
1.1997e+09   6.7500e-01
1.2031e+09   6.7800e-01
1.2064e+09   6.8100e-01
1.2098e+09   6.8400e-01
1.2132e+09   6.8700e-01
1.2166e+09   6.9000e-01
1.2200e+09   6.9300e-01
1.2235e+09   6.9600e-01
1.2269e+09   6.9900e-01
1.2303e+09   7.0200e-01
1.2338e+09   7.0500e-01
1.2373e+09   7.0800e-01
1.2407e+09   7.1100e-01
1.2442e+09   7.1400e-01
1.2477e+09   7.1700e-01
1.2512e+09   7.2000e-01
1.2548e+09   7.2300e-01
1.2583e+09   7.2600e-01
1.2618e+09   7.2900e-01
1.2654e+09   7.3200e-01
1.2690e+09   7.3500e-01
1.2725e+09   7.3800e-01
1.2761e+09   7.4100e-01
1.2797e+09   7.4400e-01
1.2833e+09   7.4700e-01
1.2869e+09   7.5000e-01
1.2906e+09   7.5300e-01
1.2942e+09   7.5600e-01
1.2978e+09   7.5900e-01
1.3015e+09   7.6200e-01
1.3052e+09   7.6500e-01
1.3089e+09   7.6800e-01
1.3126e+09   7.7100e-01
1.3163e+09   7.7400e-01
1.3200e+09   7.7700e-01
1.3237e+09   7.8000e-01
1.3274e+09   7.8300e-01
1.3312e+09   7.8600e-01
1.3349e+09   7.8900e-01
1.3387e+09   7.9200e-01
1.3425e+09   7.9500e-01
1.3463e+09   7.9800e-01
