Dia: 0.3 m | Vel: 14.4 km/s | theta: 72.0 deg | Strength: 4.0e+06 Pa
Power (W)    Altitude (m)
3.9203e+07   6.9959e+04
3.9365e+07   6.9918e+04
3.9527e+07   6.9877e+04
3.9689e+07   6.9836e+04
3.9853e+07   6.9795e+04
4.0017e+07   6.9753e+04
4.0182e+07   6.9712e+04
4.0347e+07   6.9671e+04
4.0513e+07   6.9630e+04
4.0680e+07   6.9589e+04
4.0848e+07   6.9548e+04
4.1016e+07   6.9507e+04
4.1185e+07   6.9466e+04
4.1355e+07   6.9425e+04
4.1525e+07   6.9384e+04
4.1696e+07   6.9343e+04
4.1868e+07   6.9302e+04
4.2041e+07   6.9260e+04
4.2214e+07   6.9219e+04
4.2388e+07   6.9178e+04
4.2563e+07   6.9137e+04
4.2739e+07   6.9096e+04
4.2915e+07   6.9055e+04
4.3092e+07   6.9014e+04
4.3270e+07   6.8973e+04
4.3448e+07   6.8932e+04
4.3628e+07   6.8891e+04
4.3808e+07   6.8850e+04
4.3988e+07   6.8809e+04
4.4170e+07   6.8767e+04
4.4352e+07   6.8726e+04
4.4535e+07   6.8685e+04
4.4719e+07   6.8644e+04
4.4904e+07   6.8603e+04
4.5089e+07   6.8562e+04
4.5275e+07   6.8521e+04
4.5462e+07   6.8480e+04
4.5650e+07   6.8439e+04
4.5839e+07   6.8398e+04
4.6028e+07   6.8357e+04
4.6218e+07   6.8316e+04
4.6409e+07   6.8274e+04
4.6601e+07   6.8233e+04
4.6794e+07   6.8192e+04
4.6987e+07   6.8151e+04
4.7181e+07   6.8110e+04
4.7376e+07   6.8069e+04
4.7572e+07   6.8028e+04
4.7769e+07   6.7987e+04
4.7966e+07   6.7946e+04
4.8164e+07   6.7905e+04
4.8364e+07   6.7864e+04
4.8563e+07   6.7823e+04
4.8764e+07   6.7782e+04
4.8966e+07   6.7740e+04
4.9168e+07   6.7699e+04
4.9372e+07   6.7658e+04
4.9576e+07   6.7617e+04
4.9781e+07   6.7576e+04
4.9987e+07   6.7535e+04
5.0194e+07   6.7494e+04
5.0401e+07   6.7453e+04
5.0610e+07   6.7412e+04
5.0819e+07   6.7371e+04
5.1029e+07   6.7330e+04
5.1241e+07   6.7289e+04
5.1453e+07   6.7247e+04
5.1665e+07   6.7206e+04
5.1879e+07   6.7165e+04
5.2094e+07   6.7124e+04
5.2310e+07   6.7083e+04
5.2526e+07   6.7042e+04
5.2743e+07   6.7001e+04
5.2962e+07   6.6960e+04
5.3181e+07   6.6919e+04
5.3401e+07   6.6878e+04
5.3622e+07   6.6837e+04
5.3844e+07   6.6796e+04
5.4067e+07   6.6755e+04
5.4291e+07   6.6713e+04
5.4515e+07   6.6672e+04
5.4741e+07   6.6631e+04
5.4968e+07   6.6590e+04
