Dia: 0.3 m | Vel: 14.4 km/s | theta: 72.0 deg | Strength: 4.0e+06 Pa
Power (W)    Time (sec)
3.9203e+07   3.0000e-03
3.9365e+07   6.0000e-03
3.9527e+07   9.0000e-03
3.9689e+07   1.2000e-02
3.9853e+07   1.5000e-02
4.0017e+07   1.8000e-02
4.0182e+07   2.1000e-02
4.0347e+07   2.4000e-02
4.0513e+07   2.7000e-02
4.0680e+07   3.0000e-02
4.0848e+07   3.3000e-02
4.1016e+07   3.6000e-02
4.1185e+07   3.9000e-02
4.1355e+07   4.2000e-02
4.1525e+07   4.5000e-02
4.1696e+07   4.8000e-02
4.1868e+07   5.1000e-02
4.2041e+07   5.4000e-02
4.2214e+07   5.7000e-02
4.2388e+07   6.0000e-02
4.2563e+07   6.3000e-02
4.2739e+07   6.6000e-02
4.2915e+07   6.9000e-02
4.3092e+07   7.2000e-02
4.3270e+07   7.5000e-02
4.3448e+07   7.8000e-02
4.3628e+07   8.1000e-02
4.3808e+07   8.4000e-02
4.3988e+07   8.7000e-02
4.4170e+07   9.0000e-02
4.4352e+07   9.3000e-02
4.4535e+07   9.6000e-02
4.4719e+07   9.9000e-02
4.4904e+07   1.0200e-01
4.5089e+07   1.0500e-01
4.5275e+07   1.0800e-01
4.5462e+07   1.1100e-01
4.5650e+07   1.1400e-01
4.5839e+07   1.1700e-01
4.6028e+07   1.2000e-01
4.6218e+07   1.2300e-01
4.6409e+07   1.2600e-01
4.6601e+07   1.2900e-01
4.6794e+07   1.3200e-01
4.6987e+07   1.3500e-01
4.7181e+07   1.3800e-01
4.7376e+07   1.4100e-01
4.7572e+07   1.4400e-01
4.7769e+07   1.4700e-01
4.7966e+07   1.5000e-01
4.8164e+07   1.5300e-01
4.8364e+07   1.5600e-01
4.8563e+07   1.5900e-01
4.8764e+07   1.6200e-01
4.8966e+07   1.6500e-01
4.9168e+07   1.6800e-01
4.9372e+07   1.7100e-01
4.9576e+07   1.7400e-01
4.9781e+07   1.7700e-01
4.9987e+07   1.8000e-01
5.0194e+07   1.8300e-01
5.0401e+07   1.8600e-01
5.0610e+07   1.8900e-01
5.0819e+07   1.9200e-01
5.1029e+07   1.9500e-01
5.1241e+07   1.9800e-01
5.1453e+07   2.0100e-01
5.1665e+07   2.0400e-01
5.1879e+07   2.0700e-01
5.2094e+07   2.1000e-01
5.2310e+07   2.1300e-01
5.2526e+07   2.1600e-01
5.2743e+07   2.1900e-01
5.2962e+07   2.2200e-01
5.3181e+07   2.2500e-01
5.3401e+07   2.2800e-01
5.3622e+07   2.3100e-01
5.3844e+07   2.3400e-01
5.4067e+07   2.3700e-01
5.4291e+07   2.4000e-01
5.4515e+07   2.4300e-01
5.4741e+07   2.4600e-01
5.4968e+07   2.4900e-01
5.5195e+07   2.5200e-01
5.5424e+07   2.5500e-01
5.5653e+07   2.5800e-01
5.5883e+07   2.6100e-01
5.6115e+07   2.6400e-01
5.6347e+07   2.6700e-01
5.6580e+07   2.7000e-01
5.6815e+07   2.7300e-01
5.7050e+07   2.7600e-01
5.7286e+07   2.7900e-01
5.7523e+07   2.8200e-01
5.7761e+07   2.8500e-01
5.8000e+07   2.8800e-01
5.8240e+07   2.9100e-01
5.8481e+07   2.9400e-01
5.8724e+07   2.9700e-01
5.8967e+07   3.0000e-01
5.9211e+07   3.0300e-01
5.9456e+07   3.0600e-01
5.9702e+07   3.0900e-01
5.9949e+07   3.1200e-01
6.0197e+07   3.1500e-01
6.0446e+07   3.1800e-01
6.0697e+07   3.2100e-01
6.0948e+07   3.2400e-01
6.1200e+07   3.2700e-01
6.1453e+07   3.3000e-01
6.1708e+07   3.3300e-01
6.1963e+07   3.3600e-01
6.2219e+07   3.3900e-01
6.2477e+07   3.4200e-01
6.2735e+07   3.4500e-01
6.2995e+07   3.4800e-01
6.3256e+07   3.5100e-01
6.3517e+07   3.5400e-01
6.3780e+07   3.5700e-01
6.4044e+07   3.6000e-01
6.4309e+07   3.6300e-01
6.4575e+07   3.6600e-01
6.4842e+07   3.6900e-01
6.5110e+07   3.7200e-01
6.5379e+07   3.7500e-01
6.5650e+07   3.7800e-01
6.5921e+07   3.8100e-01
6.6194e+07   3.8400e-01
6.6467e+07   3.8700e-01
6.6742e+07   3.9000e-01
6.7018e+07   3.9300e-01
6.7295e+07   3.9600e-01
6.7573e+07   3.9900e-01
6.7853e+07   4.0200e-01
6.8133e+07   4.0500e-01
6.8415e+07   4.0800e-01
6.8697e+07   4.1100e-01
6.8981e+07   4.1400e-01
6.9266e+07   4.1700e-01
6.9552e+07   4.2000e-01
6.9839e+07   4.2300e-01
7.0128e+07   4.2600e-01
7.0417e+07   4.2900e-01
7.0708e+07   4.3200e-01
7.1000e+07   4.3500e-01
7.1293e+07   4.3800e-01
7.1587e+07   4.4100e-01
7.1883e+07   4.4400e-01
7.2180e+07   4.4700e-01
7.2477e+07   4.5000e-01
7.2776e+07   4.5300e-01
7.3077e+07   4.5600e-01
7.3378e+07   4.5900e-01
7.3681e+07   4.6200e-01
7.3984e+07   4.6500e-01
7.4290e+07   4.6800e-01
7.4596e+07   4.7100e-01
7.4903e+07   4.7400e-01
7.5212e+07   4.7700e-01
7.5522e+07   4.8000e-01
7.5833e+07   4.8300e-01
7.6145e+07   4.8600e-01
7.6459e+07   4.8900e-01
7.6774e+07   4.9200e-01
7.7090e+07   4.9500e-01
7.7407e+07   4.9800e-01
7.7726e+07   5.0100e-01
7.8046e+07   5.0400e-01
7.8367e+07   5.0700e-01
7.8689e+07   5.1000e-01
