Bolide Luminosity and Fragmentation Simulation — v7
Dia: 1.3 m | Vel: 15.0 km/s | theta: 60.0 deg | Strength: 5.0e+05 → 1.0e+06 Pa

Initial area     = 5.3093e+00 m²
Initial mass     = 3.9112e+03 kg
Initial strength = 5.0000e+05 Pa

Initial altitude = 6.4681e+06 meters
Initial position = 0.0000e+00 meters
Initial velocity = 1.5000e+04 m/s
Initial time     = 0.0000e+00 s

Initial angle of entry = 60.000 deg
Initial angle of entry = 1.047 rad

Initial x-component velocity = 7.5000e+03 m/s
Initial z-component velocity = -1.2990e+04 m/s
Initial alpha angle          = 0.0000e+00 deg
Initial delta angle          = 3.0000e+01 deg
Initial gamma angle          = 3.0000e+01 deg
Initial flight path angle    = 6.0000e+01 deg
Initial downrange distance   = 0.0000e+00 meters
Initial Earth surface x-comp = 6.3781e+06 meters
Initial Earth surface z-comp = 6.3781e+06 meters

Setting total radiated energy to 0.0000e+00 J

time = 3.0000e-03  lum = 2.1874e+08  alt = 6.4681e+06  mass = 3.9111e+03  dia = 1.3000e+00  area = 5.3092e+00
KE = 4.4001e+11  v = 1.5000e+04  acc = 1.7560e+00  E_rad_ttl = 6.5621e+05  E_dep = 1.3130e+07  Fdrag = 3.2064e+03  theta_deg = 60.000
q_h = 3.6236e+07  q = 1.6105e+03  M = 3.9874e+01  T_stag = 6.5765e+04  p_stag = 1.6122e+03  T_surf = 5.1620e+03
T = 4.1104e+02  p = 1.6882e+00  rho = 1.4315e-05  a = 3.7618e+02  tau = 4.9977e-02  frag_stage = 0

time = 6.0000e-03  lum = 2.1950e+08  alt = 6.4681e+06  mass = 3.9109e+03  dia = 1.3000e+00  area = 5.3091e+00
KE = 4.3999e+11  v = 1.5000e+04  acc = 1.7539e+00  E_rad_ttl = 1.3147e+06  E_dep = 2.6307e+07  Fdrag = 3.2177e+03  theta_deg = 60.000
q_h = 3.6363e+07  q = 1.6161e+03  M = 3.9880e+01  T_stag = 6.5765e+04  p_stag = 1.6178e+03  T_surf = 5.1666e+03
T = 4.1092e+02  p = 1.6936e+00  rho = 1.4366e-05  a = 3.7613e+02  tau = 4.9977e-02  frag_stage = 0

time = 9.0000e-03  lum = 2.2027e+08  alt = 6.4680e+06  mass = 3.9108e+03  dia = 1.3000e+00  area = 5.3090e+00
KE = 4.3998e+11  v = 1.5000e+04  acc = 1.7518e+00  E_rad_ttl = 1.9755e+06  E_dep = 3.9529e+07  Fdrag = 3.2289e+03  theta_deg = 60.000
q_h = 3.6491e+07  q = 1.6218e+03  M = 3.9886e+01  T_stag = 6.5765e+04  p_stag = 1.6235e+03  T_surf = 5.1711e+03
T = 4.1081e+02  p = 1.6991e+00  rho = 1.4416e-05  a = 3.7608e+02  tau = 4.9977e-02  frag_stage = 0

time = 1.2000e-02  lum = 2.2104e+08  alt = 6.4680e+06  mass = 3.9107e+03  dia = 1.2999e+00  area = 5.3089e+00
KE = 4.3997e+11  v = 1.5000e+04  acc = 1.7497e+00  E_rad_ttl = 2.6387e+06  E_dep = 5.2798e+07  Fdrag = 3.2402e+03  theta_deg = 60.000
q_h = 3.6620e+07  q = 1.6275e+03  M = 3.9891e+01  T_stag = 6.5765e+04  p_stag = 1.6292e+03  T_surf = 5.1757e+03
T = 4.1069e+02  p = 1.7046e+00  rho = 1.4467e-05  a = 3.7602e+02  tau = 4.9977e-02  frag_stage = 0

time = 1.5000e-02  lum = 2.2182e+08  alt = 6.4679e+06  mass = 3.9106e+03  dia = 1.2999e+00  area = 5.3088e+00
KE = 4.3996e+11  v = 1.5000e+04  acc = 1.7476e+00  E_rad_ttl = 3.3041e+06  E_dep = 6.6113e+07  Fdrag = 3.2516e+03  theta_deg = 60.000
q_h = 3.6749e+07  q = 1.6333e+03  M = 3.9897e+01  T_stag = 6.5764e+04  p_stag = 1.6350e+03  T_surf = 5.1802e+03
T = 4.1057e+02  p = 1.7101e+00  rho = 1.4518e-05  a = 3.7597e+02  tau = 4.9977e-02  frag_stage = 0

time = 1.8000e-02  lum = 2.2259e+08  alt = 6.4679e+06  mass = 3.9105e+03  dia = 1.2999e+00  area = 5.3087e+00
KE = 4.3994e+11  v = 1.5000e+04  acc = 1.7455e+00  E_rad_ttl = 3.9719e+06  E_dep = 7.9475e+07  Fdrag = 3.2630e+03  theta_deg = 60.000
q_h = 3.6878e+07  q = 1.6390e+03  M = 3.9903e+01  T_stag = 6.5764e+04  p_stag = 1.6407e+03  T_surf = 5.1848e+03
T = 4.1046e+02  p = 1.7157e+00  rho = 1.4569e-05  a = 3.7592e+02  tau = 4.9977e-02  frag_stage = 0

time = 2.1000e-02  lum = 2.2337e+08  alt = 6.4679e+06  mass = 3.9104e+03  dia = 1.2999e+00  area = 5.3086e+00
KE = 4.3993e+11  v = 1.5000e+04  acc = 1.7434e+00  E_rad_ttl = 4.6420e+06  E_dep = 9.2884e+07  Fdrag = 3.2744e+03  theta_deg = 60.000
q_h = 3.7008e+07  q = 1.6448e+03  M = 3.9908e+01  T_stag = 6.5764e+04  p_stag = 1.6465e+03  T_surf = 5.1893e+03
T = 4.1034e+02  p = 1.7212e+00  rho = 1.4620e-05  a = 3.7586e+02  tau = 4.9977e-02  frag_stage = 0

time = 2.4000e-02  lum = 2.2416e+08  alt = 6.4678e+06  mass = 3.9102e+03  dia = 1.2999e+00  area = 5.3084e+00
KE = 4.3992e+11  v = 1.5000e+04  acc = 1.7413e+00  E_rad_ttl = 5.3145e+06  E_dep = 1.0634e+08  Fdrag = 3.2859e+03  theta_deg = 60.000
q_h = 3.7139e+07  q = 1.6506e+03  M = 3.9914e+01  T_stag = 6.5764e+04  p_stag = 1.6523e+03  T_surf = 5.1939e+03
T = 4.1022e+02  p = 1.7268e+00  rho = 1.4672e-05  a = 3.7581e+02  tau = 4.9977e-02  frag_stage = 0

time = 2.7000e-02  lum = 2.2494e+08  alt = 6.4678e+06  mass = 3.9101e+03  dia = 1.2999e+00  area = 5.3083e+00
KE = 4.3990e+11  v = 1.5000e+04  acc = 1.7392e+00  E_rad_ttl = 5.9893e+06  E_dep = 1.1984e+08  Fdrag = 3.2974e+03  theta_deg = 60.000
q_h = 3.7270e+07  q = 1.6564e+03  M = 3.9920e+01  T_stag = 6.5764e+04  p_stag = 1.6582e+03  T_surf = 5.1985e+03
T = 4.1011e+02  p = 1.7324e+00  rho = 1.4724e-05  a = 3.7576e+02  tau = 4.9977e-02  frag_stage = 0

time = 3.0000e-02  lum = 2.2573e+08  alt = 6.4678e+06  mass = 3.9100e+03  dia = 1.2999e+00  area = 5.3082e+00
KE = 4.3989e+11  v = 1.5000e+04  acc = 1.7370e+00  E_rad_ttl = 6.6665e+06  E_dep = 1.3339e+08  Fdrag = 3.3090e+03  theta_deg = 60.000
q_h = 3.7401e+07  q = 1.6623e+03  M = 3.9925e+01  T_stag = 6.5764e+04  p_stag = 1.6640e+03  T_surf = 5.2030e+03
T = 4.0999e+02  p = 1.7380e+00  rho = 1.4776e-05  a = 3.7570e+02  tau = 4.9977e-02  frag_stage = 0

time = 3.3000e-02  lum = 2.2652e+08  alt = 6.4677e+06  mass = 3.9099e+03  dia = 1.2999e+00  area = 5.3081e+00
KE = 4.3988e+11  v = 1.5000e+04  acc = 1.7349e+00  E_rad_ttl = 7.3461e+06  E_dep = 1.4699e+08  Fdrag = 3.3206e+03  theta_deg = 60.000
q_h = 3.7533e+07  q = 1.6681e+03  M = 3.9931e+01  T_stag = 6.5764e+04  p_stag = 1.6699e+03  T_surf = 5.2076e+03
T = 4.0987e+02  p = 1.7436e+00  rho = 1.4828e-05  a = 3.7565e+02  tau = 4.9977e-02  frag_stage = 0

