Dia: 1.3 m | Vel: 15.0 km/s | theta: 60.0 deg | Strength: 5.0e+05 Pa
Power (W)    Altitude (m)
1.0208e+08   8.9961e+04
1.0244e+08   8.9922e+04
1.0280e+08   8.9883e+04
1.0316e+08   8.9844e+04
1.0352e+08   8.9805e+04
1.0388e+08   8.9766e+04
1.0425e+08   8.9727e+04
1.0461e+08   8.9688e+04
1.0498e+08   8.9649e+04
1.0535e+08   8.9610e+04
1.0572e+08   8.9571e+04
1.0610e+08   8.9532e+04
1.0647e+08   8.9493e+04
1.0684e+08   8.9454e+04
1.0722e+08   8.9415e+04
1.0760e+08   8.9376e+04
1.0798e+08   8.9337e+04
1.0836e+08   8.9299e+04
1.0874e+08   8.9260e+04
1.0912e+08   8.9221e+04
1.0951e+08   8.9182e+04
1.0990e+08   8.9143e+04
1.1028e+08   8.9104e+04
1.1067e+08   8.9065e+04
1.1107e+08   8.9026e+04
1.1146e+08   8.8987e+04
1.1185e+08   8.8948e+04
1.1225e+08   8.8909e+04
1.1264e+08   8.8870e+04
1.1304e+08   8.8831e+04
1.1344e+08   8.8792e+04
1.1385e+08   8.8753e+04
1.1425e+08   8.8714e+04
1.1465e+08   8.8675e+04
1.1506e+08   8.8636e+04
1.1547e+08   8.8597e+04
1.1588e+08   8.8558e+04
1.1629e+08   8.8519e+04
1.1670e+08   8.8480e+04
1.1711e+08   8.8441e+04
1.1753e+08   8.8402e+04
1.1795e+08   8.8363e+04
1.1837e+08   8.8324e+04
1.1879e+08   8.8285e+04
1.1921e+08   8.8246e+04
1.1963e+08   8.8207e+04
1.2006e+08   8.8168e+04
1.2048e+08   8.8129e+04
1.2091e+08   8.8090e+04
1.2134e+08   8.8052e+04
1.2177e+08   8.8013e+04
1.2221e+08   8.7974e+04
1.2264e+08   8.7935e+04
1.2308e+08   8.7896e+04
1.2352e+08   8.7857e+04
1.2396e+08   8.7818e+04
1.2440e+08   8.7779e+04
1.2484e+08   8.7740e+04
1.2529e+08   8.7701e+04
1.2574e+08   8.7662e+04
1.2619e+08   8.7623e+04
1.2664e+08   8.7584e+04
1.2709e+08   8.7545e+04
1.2754e+08   8.7506e+04
1.2800e+08   8.7467e+04
1.2846e+08   8.7428e+04
1.2891e+08   8.7389e+04
1.2938e+08   8.7350e+04
1.2984e+08   8.7311e+04
1.3030e+08   8.7272e+04
1.3077e+08   8.7233e+04
1.3124e+08   8.7194e+04
1.3171e+08   8.7155e+04
1.3218e+08   8.7116e+04
1.3265e+08   8.7077e+04
1.3313e+08   8.7038e+04
1.3360e+08   8.6999e+04
1.3408e+08   8.6960e+04
1.3456e+08   8.6921e+04
1.3505e+08   8.6883e+04
1.3553e+08   8.6844e+04
1.3602e+08   8.6805e+04
1.3651e+08   8.6766e+04
1.3700e+08   8.6727e+04
1.3749e+08   8.6688e+04
1.3798e+08   8.6649e+04
1.3848e+08   8.6610e+04
1.3898e+08   8.6571e+04
1.3948e+08   8.6532e+04
1.3998e+08   8.6493e+04
1.4048e+08   8.6454e+04
