Dia: 1.3 m | Vel: 15.0 km/s | theta: 60.0 deg | Strength: 5.0e+05 Pa
Power (W)    Time (sec)
1.0208e+08   3.0000e-03
1.0244e+08   6.0000e-03
1.0280e+08   9.0000e-03
1.0316e+08   1.2000e-02
1.0352e+08   1.5000e-02
1.0388e+08   1.8000e-02
1.0425e+08   2.1000e-02
1.0461e+08   2.4000e-02
1.0498e+08   2.7000e-02
1.0535e+08   3.0000e-02
1.0572e+08   3.3000e-02
1.0610e+08   3.6000e-02
1.0647e+08   3.9000e-02
1.0684e+08   4.2000e-02
1.0722e+08   4.5000e-02
1.0760e+08   4.8000e-02
1.0798e+08   5.1000e-02
1.0836e+08   5.4000e-02
1.0874e+08   5.7000e-02
1.0912e+08   6.0000e-02
1.0951e+08   6.3000e-02
1.0990e+08   6.6000e-02
1.1028e+08   6.9000e-02
1.1067e+08   7.2000e-02
1.1107e+08   7.5000e-02
1.1146e+08   7.8000e-02
1.1185e+08   8.1000e-02
1.1225e+08   8.4000e-02
1.1264e+08   8.7000e-02
1.1304e+08   9.0000e-02
1.1344e+08   9.3000e-02
1.1385e+08   9.6000e-02
1.1425e+08   9.9000e-02
1.1465e+08   1.0200e-01
1.1506e+08   1.0500e-01
1.1547e+08   1.0800e-01
1.1588e+08   1.1100e-01
1.1629e+08   1.1400e-01
1.1670e+08   1.1700e-01
1.1711e+08   1.2000e-01
1.1753e+08   1.2300e-01
1.1795e+08   1.2600e-01
1.1837e+08   1.2900e-01
1.1879e+08   1.3200e-01
1.1921e+08   1.3500e-01
1.1963e+08   1.3800e-01
1.2006e+08   1.4100e-01
1.2048e+08   1.4400e-01
1.2091e+08   1.4700e-01
1.2134e+08   1.5000e-01
1.2177e+08   1.5300e-01
1.2221e+08   1.5600e-01
1.2264e+08   1.5900e-01
1.2308e+08   1.6200e-01
1.2352e+08   1.6500e-01
1.2396e+08   1.6800e-01
1.2440e+08   1.7100e-01
1.2484e+08   1.7400e-01
1.2529e+08   1.7700e-01
1.2574e+08   1.8000e-01
1.2619e+08   1.8300e-01
1.2664e+08   1.8600e-01
1.2709e+08   1.8900e-01
1.2754e+08   1.9200e-01
1.2800e+08   1.9500e-01
1.2846e+08   1.9800e-01
1.2891e+08   2.0100e-01
1.2938e+08   2.0400e-01
1.2984e+08   2.0700e-01
1.3030e+08   2.1000e-01
1.3077e+08   2.1300e-01
1.3124e+08   2.1600e-01
1.3171e+08   2.1900e-01
1.3218e+08   2.2200e-01
1.3265e+08   2.2500e-01
1.3313e+08   2.2800e-01
1.3360e+08   2.3100e-01
1.3408e+08   2.3400e-01
1.3456e+08   2.3700e-01
1.3505e+08   2.4000e-01
1.3553e+08   2.4300e-01
1.3602e+08   2.4600e-01
1.3651e+08   2.4900e-01
1.3700e+08   2.5200e-01
1.3749e+08   2.5500e-01
1.3798e+08   2.5800e-01
1.3848e+08   2.6100e-01
1.3898e+08   2.6400e-01
1.3948e+08   2.6700e-01
1.3998e+08   2.7000e-01
1.4048e+08   2.7300e-01
1.4099e+08   2.7600e-01
1.4150e+08   2.7900e-01
1.4201e+08   2.8200e-01
1.4252e+08   2.8500e-01
1.4303e+08   2.8800e-01
1.4355e+08   2.9100e-01
1.4406e+08   2.9400e-01
1.4458e+08   2.9700e-01
1.4510e+08   3.0000e-01
1.4563e+08   3.0300e-01
1.4615e+08   3.0600e-01
1.4668e+08   3.0900e-01
1.4721e+08   3.1200e-01
1.4774e+08   3.1500e-01
1.4828e+08   3.1800e-01
1.4881e+08   3.2100e-01
1.4935e+08   3.2400e-01
1.4989e+08   3.2700e-01
1.5043e+08   3.3000e-01
1.5098e+08   3.3300e-01
1.5152e+08   3.3600e-01
1.5207e+08   3.3900e-01
1.5262e+08   3.4200e-01
1.5318e+08   3.4500e-01
1.5373e+08   3.4800e-01
1.5429e+08   3.5100e-01
1.5485e+08   3.5400e-01
1.5541e+08   3.5700e-01
1.5597e+08   3.6000e-01
1.5654e+08   3.6300e-01
1.5711e+08   3.6600e-01
1.5768e+08   3.6900e-01
1.5825e+08   3.7200e-01
