Bolide Luminosity and Fragmentation Simulation — v7
Dia: 1.1 m | Vel: 14.4 km/s | theta: 38.0 deg | Strength: 6.0e+06 → 1.0e+07 Pa

Initial area     = 3.8013e+00 m²
Initial mass     = 2.3695e+03 kg
Initial strength = 6.0000e+06 Pa

Initial altitude = 6.4581e+06 meters
Initial position = 0.0000e+00 meters
Initial velocity = 1.4400e+04 m/s
Initial time     = 0.0000e+00 s

Initial angle of entry = 38.000 deg
Initial angle of entry = 0.663 rad

Initial x-component velocity = 1.1347e+04 m/s
Initial z-component velocity = -8.8655e+03 m/s
Initial alpha angle          = 0.0000e+00 deg
Initial delta angle          = 5.2000e+01 deg
Initial gamma angle          = 5.2000e+01 deg
Initial flight path angle    = 3.8000e+01 deg
Initial downrange distance   = 0.0000e+00 meters
Initial Earth surface x-comp = 6.3781e+06 meters
Initial Earth surface z-comp = 6.3781e+06 meters

Setting total radiated energy to 0.0000e+00 J

time = 3.0000e-03  lum = 5.3420e+07  alt = 6.4581e+06  mass = 2.3693e+03  dia = 1.1000e+00  area = 3.8011e+00
KE = 2.4567e+11  v = 1.4400e+04  acc = 2.0632e+00  E_rad_ttl = 1.6026e+05  E_dep = 1.9555e+07  Fdrag = 5.3924e+03  theta_deg = 38.000
q_h = 8.1709e+07  q = 3.7828e+03  M = 3.9752e+01  T_stag = 6.0611e+04  p_stag = 3.7868e+03  T_surf = 6.3256e+03
T = 3.8114e+02  p = 3.9897e+00  rho = 3.6486e-05  a = 3.6224e+02  tau = 8.1953e-03  frag_stage = 0

time = 6.0000e-03  lum = 5.3648e+07  alt = 6.4581e+06  mass = 2.3691e+03  dia = 1.0999e+00  area = 3.8009e+00
KE = 2.4565e+11  v = 1.4400e+04  acc = 2.0654e+00  E_rad_ttl = 3.2120e+05  E_dep = 3.9160e+07  Fdrag = 5.4061e+03  theta_deg = 38.000
q_h = 8.1921e+07  q = 3.7926e+03  M = 3.9757e+01  T_stag = 6.0611e+04  p_stag = 3.7966e+03  T_surf = 6.3297e+03
T = 3.8106e+02  p = 3.9992e+00  rho = 3.6580e-05  a = 3.6220e+02  tau = 8.2095e-03  frag_stage = 0

time = 9.0000e-03  lum = 5.3877e+07  alt = 6.4581e+06  mass = 2.3689e+03  dia = 1.0999e+00  area = 3.8007e+00
KE = 2.4563e+11  v = 1.4400e+04  acc = 2.0678e+00  E_rad_ttl = 4.8283e+05  E_dep = 5.8814e+07  Fdrag = 5.4198e+03  theta_deg = 38.000
q_h = 8.2133e+07  q = 3.8024e+03  M = 3.9761e+01  T_stag = 6.0611e+04  p_stag = 3.8065e+03  T_surf = 6.3338e+03
T = 3.8098e+02  p = 4.0087e+00  rho = 3.6675e-05  a = 3.6217e+02  tau = 8.2237e-03  frag_stage = 0

time = 1.2000e-02  lum = 5.4107e+07  alt = 6.4580e+06  mass = 2.3687e+03  dia = 1.0999e+00  area = 3.8005e+00
KE = 2.4561e+11  v = 1.4400e+04  acc = 2.0701e+00  E_rad_ttl = 6.4516e+05  E_dep = 7.8518e+07  Fdrag = 5.4336e+03  theta_deg = 38.000
q_h = 8.2345e+07  q = 3.8123e+03  M = 3.9765e+01  T_stag = 6.0611e+04  p_stag = 3.8163e+03  T_surf = 6.3379e+03
T = 3.8090e+02  p = 4.0182e+00  rho = 3.6770e-05  a = 3.6213e+02  tau = 8.2380e-03  frag_stage = 0

time = 1.5000e-02  lum = 5.4339e+07  alt = 6.4580e+06  mass = 2.3686e+03  dia = 1.0999e+00  area = 3.8003e+00
KE = 2.4559e+11  v = 1.4400e+04  acc = 2.0724e+00  E_rad_ttl = 8.0817e+05  E_dep = 9.8272e+07  Fdrag = 5.4473e+03  theta_deg = 38.000
q_h = 8.2559e+07  q = 3.8222e+03  M = 3.9769e+01  T_stag = 6.0611e+04  p_stag = 3.8262e+03  T_surf = 6.3420e+03
T = 3.8082e+02  p = 4.0278e+00  rho = 3.6865e-05  a = 3.6209e+02  tau = 8.2523e-03  frag_stage = 0

time = 1.8000e-02  lum = 5.4571e+07  alt = 6.4580e+06  mass = 2.3684e+03  dia = 1.0998e+00  area = 3.8001e+00
KE = 2.4557e+11  v = 1.4400e+04  acc = 2.0748e+00  E_rad_ttl = 9.7189e+05  E_dep = 1.1808e+08  Fdrag = 5.4612e+03  theta_deg = 38.000
q_h = 8.2773e+07  q = 3.8321e+03  M = 3.9773e+01  T_stag = 6.0611e+04  p_stag = 3.8361e+03  T_surf = 6.3461e+03
T = 3.8074e+02  p = 4.0374e+00  rho = 3.6961e-05  a = 3.6205e+02  tau = 8.2666e-03  frag_stage = 0

time = 2.1000e-02  lum = 5.4804e+07  alt = 6.4580e+06  mass = 2.3682e+03  dia = 1.0998e+00  area = 3.7999e+00
KE = 2.4555e+11  v = 1.4400e+04  acc = 2.0772e+00  E_rad_ttl = 1.1363e+06  E_dep = 1.3793e+08  Fdrag = 5.4750e+03  theta_deg = 38.000
q_h = 8.2987e+07  q = 3.8420e+03  M = 3.9777e+01  T_stag = 6.0611e+04  p_stag = 3.8460e+03  T_surf = 6.3502e+03
T = 3.8066e+02  p = 4.0470e+00  rho = 3.7056e-05  a = 3.6201e+02  tau = 8.2809e-03  frag_stage = 0

time = 2.4000e-02  lum = 5.5039e+07  alt = 6.4579e+06  mass = 2.3680e+03  dia = 1.0998e+00  area = 3.7997e+00
KE = 2.4553e+11  v = 1.4400e+04  acc = 2.0796e+00  E_rad_ttl = 1.3014e+06  E_dep = 1.5784e+08  Fdrag = 5.4889e+03  theta_deg = 38.000
q_h = 8.3202e+07  q = 3.8519e+03  M = 3.9782e+01  T_stag = 6.0610e+04  p_stag = 3.8560e+03  T_surf = 6.3543e+03
T = 3.8058e+02  p = 4.0566e+00  rho = 3.7152e-05  a = 3.6198e+02  tau = 8.2953e-03  frag_stage = 0

time = 2.7000e-02  lum = 5.5274e+07  alt = 6.4579e+06  mass = 2.3678e+03  dia = 1.0997e+00  area = 3.7995e+00
KE = 2.4551e+11  v = 1.4400e+04  acc = 2.0821e+00  E_rad_ttl = 1.4672e+06  E_dep = 1.7779e+08  Fdrag = 5.5028e+03  theta_deg = 38.000
q_h = 8.3418e+07  q = 3.8619e+03  M = 3.9786e+01  T_stag = 6.0610e+04  p_stag = 3.8660e+03  T_surf = 6.3584e+03
T = 3.8050e+02  p = 4.0663e+00  rho = 3.7249e-05  a = 3.6194e+02  tau = 8.3097e-03  frag_stage = 0

time = 3.0000e-02  lum = 5.5511e+07  alt = 6.4579e+06  mass = 2.3676e+03  dia = 1.0997e+00  area = 3.7993e+00
KE = 2.4549e+11  v = 1.4400e+04  acc = 2.0845e+00  E_rad_ttl = 1.6338e+06  E_dep = 1.9780e+08  Fdrag = 5.5168e+03  theta_deg = 38.000
q_h = 8.3634e+07  q = 3.8719e+03  M = 3.9790e+01  T_stag = 6.0610e+04  p_stag = 3.8760e+03  T_surf = 6.3626e+03
T = 3.8042e+02  p = 4.0760e+00  rho = 3.7345e-05  a = 3.6190e+02  tau = 8.3241e-03  frag_stage = 0

time = 3.3000e-02  lum = 5.5748e+07  alt = 6.4578e+06  mass = 2.3674e+03  dia = 1.0997e+00  area = 3.7991e+00
KE = 2.4547e+11  v = 1.4400e+04  acc = 2.0870e+00  E_rad_ttl = 1.8010e+06  E_dep = 2.1785e+08  Fdrag = 5.5308e+03  theta_deg = 38.000
q_h = 8.3851e+07  q = 3.8820e+03  M = 3.9794e+01  T_stag = 6.0610e+04  p_stag = 3.8861e+03  T_surf = 6.3667e+03
T = 3.8034e+02  p = 4.0857e+00  rho = 3.7442e-05  a = 3.6186e+02  tau = 8.3386e-03  frag_stage = 0

time = 3.6000e-02  lum = 5.5987e+07  alt = 6.4578e+06  mass = 2.3672e+03  dia = 1.0996e+00  area = 3.7989e+00
KE = 2.4545e+11  v = 1.4400e+04  acc = 2.0895e+00  E_rad_ttl = 1.9690e+06  E_dep = 2.3796e+08  Fdrag = 5.5449e+03  theta_deg = 38.000
q_h = 8.4068e+07  q = 3.8920e+03  M = 3.9798e+01  T_stag = 6.0610e+04  p_stag = 3.8961e+03  T_surf = 6.3708e+03
T = 3.8027e+02  p = 4.0955e+00  rho = 3.7539e-05  a = 3.6183e+02  tau = 8.3531e-03  frag_stage = 0

time = 3.9000e-02  lum = 5.6226e+07  alt = 6.4578e+06  mass = 2.3670e+03  dia = 1.0996e+00  area = 3.7987e+00
KE = 2.4543e+11  v = 1.4400e+04  acc = 2.0920e+00  E_rad_ttl = 2.1377e+06  E_dep = 2.5812e+08  Fdrag = 5.5589e+03  theta_deg = 38.000
q_h = 8.4286e+07  q = 3.9021e+03  M = 3.9802e+01  T_stag = 6.0610e+04  p_stag = 3.9062e+03  T_surf = 6.3749e+03
T = 3.8019e+02  p = 4.1052e+00  rho = 3.7637e-05  a = 3.6179e+02  tau = 8.3676e-03  frag_stage = 0

time = 4.2000e-02  lum = 5.6467e+07  alt = 6.4578e+06  mass = 2.3668e+03  dia = 1.0996e+00  area = 3.7985e+00
KE = 2.4541e+11  v = 1.4400e+04  acc = 2.0946e+00  E_rad_ttl = 2.3071e+06  E_dep = 2.7833e+08  Fdrag = 5.5731e+03  theta_deg = 38.000
q_h = 8.4505e+07  q = 3.9123e+03  M = 3.9806e+01  T_stag = 6.0610e+04  p_stag = 3.9164e+03  T_surf = 6.3791e+03
T = 3.8011e+02  p = 4.1150e+00  rho = 3.7734e-05  a = 3.6175e+02  tau = 8.3821e-03  frag_stage = 0

time = 4.5000e-02  lum = 5.6709e+07  alt = 6.4577e+06  mass = 2.3666e+03  dia = 1.0996e+00  area = 3.7983e+00
KE = 2.4539e+11  v = 1.4400e+04  acc = 2.0971e+00  E_rad_ttl = 2.4772e+06  E_dep = 2.9859e+08  Fdrag = 5.5872e+03  theta_deg = 38.000
q_h = 8.4724e+07  q = 3.9224e+03  M = 3.9811e+01  T_stag = 6.0610e+04  p_stag = 3.9265e+03  T_surf = 6.3832e+03
