Dia: 1.1 m | Vel: 14.4 km/s | theta: 38.0 deg | Strength: 6.0e+06 Pa
Power (W)    Altitude (m)
1.4401e+08   7.9973e+04
1.4438e+08   7.9947e+04
1.4475e+08   7.9920e+04
1.4512e+08   7.9894e+04
1.4549e+08   7.9867e+04
1.4587e+08   7.9840e+04
1.4624e+08   7.9814e+04
1.4662e+08   7.9787e+04
1.4699e+08   7.9761e+04
1.4737e+08   7.9734e+04
1.4775e+08   7.9707e+04
1.4813e+08   7.9681e+04
1.4851e+08   7.9654e+04
1.4889e+08   7.9628e+04
1.4927e+08   7.9601e+04
1.4966e+08   7.9574e+04
1.5004e+08   7.9548e+04
1.5043e+08   7.9521e+04
1.5082e+08   7.9495e+04
1.5120e+08   7.9468e+04
1.5159e+08   7.9442e+04
1.5198e+08   7.9415e+04
1.5237e+08   7.9388e+04
1.5277e+08   7.9362e+04
1.5316e+08   7.9335e+04
1.5355e+08   7.9309e+04
1.5395e+08   7.9282e+04
1.5435e+08   7.9255e+04
1.5474e+08   7.9229e+04
1.5514e+08   7.9202e+04
1.5554e+08   7.9176e+04
1.5594e+08   7.9149e+04
1.5635e+08   7.9122e+04
1.5675e+08   7.9096e+04
1.5715e+08   7.9069e+04
1.5756e+08   7.9043e+04
1.5797e+08   7.9016e+04
1.5837e+08   7.8989e+04
1.5878e+08   7.8963e+04
1.5919e+08   7.8936e+04
1.5960e+08   7.8910e+04
1.6001e+08   7.8883e+04
1.6043e+08   7.8856e+04
1.6084e+08   7.8830e+04
1.6126e+08   7.8803e+04
1.6167e+08   7.8777e+04
1.6209e+08   7.8750e+04
1.6251e+08   7.8724e+04
1.6293e+08   7.8697e+04
1.6335e+08   7.8670e+04
1.6378e+08   7.8644e+04
1.6420e+08   7.8617e+04
1.6462e+08   7.8591e+04
1.6505e+08   7.8564e+04
1.6548e+08   7.8537e+04
1.6591e+08   7.8511e+04
1.6634e+08   7.8484e+04
1.6677e+08   7.8458e+04
1.6720e+08   7.8431e+04
1.6763e+08   7.8405e+04
1.6807e+08   7.8378e+04
1.6850e+08   7.8351e+04
1.6894e+08   7.8325e+04
1.6938e+08   7.8298e+04
1.6982e+08   7.8272e+04
1.7026e+08   7.8245e+04
1.7070e+08   7.8218e+04
1.7114e+08   7.8192e+04
1.7159e+08   7.8165e+04
1.7203e+08   7.8139e+04
1.7248e+08   7.8112e+04
1.7292e+08   7.8085e+04
1.7337e+08   7.8059e+04
1.7382e+08   7.8032e+04
1.7428e+08   7.8006e+04
1.7473e+08   7.7979e+04
1.7518e+08   7.7953e+04
1.7564e+08   7.7926e+04
1.7609e+08   7.7899e+04
1.7655e+08   7.7873e+04
1.7701e+08   7.7846e+04
1.7747e+08   7.7820e+04
1.7793e+08   7.7793e+04
1.7840e+08   7.7766e+04
1.7886e+08   7.7740e+04
1.7933e+08   7.7713e+04
1.7979e+08   7.7687e+04
1.8026e+08   7.7660e+04
1.8073e+08   7.7634e+04
1.8120e+08   7.7607e+04
1.8167e+08   7.7580e+04
1.8215e+08   7.7554e+04
1.8262e+08   7.7527e+04
1.8310e+08   7.7501e+04
1.8357e+08   7.7474e+04
1.8405e+08   7.7447e+04
1.8453e+08   7.7421e+04
1.8501e+08   7.7394e+04
1.8550e+08   7.7368e+04
1.8598e+08   7.7341e+04
1.8647e+08   7.7315e+04
1.8695e+08   7.7288e+04
1.8744e+08   7.7261e+04
1.8793e+08   7.7235e+04
1.8842e+08   7.7208e+04
1.8891e+08   7.7182e+04
1.8941e+08   7.7155e+04
1.8990e+08   7.7129e+04
1.9040e+08   7.7102e+04
1.9090e+08   7.7075e+04
1.9140e+08   7.7049e+04
1.9190e+08   7.7022e+04
1.9240e+08   7.6996e+04
1.9290e+08   7.6969e+04
1.9341e+08   7.6942e+04
1.9391e+08   7.6916e+04
1.9442e+08   7.6889e+04
1.9493e+08   7.6863e+04
1.9544e+08   7.6836e+04
1.9595e+08   7.6810e+04
1.9646e+08   7.6783e+04
1.9698e+08   7.6756e+04
1.9749e+08   7.6730e+04
1.9801e+08   7.6703e+04
1.9853e+08   7.6677e+04
1.9905e+08   7.6650e+04
1.9957e+08   7.6624e+04
2.0010e+08   7.6597e+04
2.0062e+08   7.6570e+04
2.0115e+08   7.6544e+04
2.0167e+08   7.6517e+04
2.0220e+08   7.6491e+04
2.0273e+08   7.6464e+04
2.0327e+08   7.6438e+04
2.0380e+08   7.6411e+04
2.0433e+08   7.6384e+04
2.0487e+08   7.6358e+04
2.0541e+08   7.6331e+04
2.0595e+08   7.6305e+04
2.0649e+08   7.6278e+04
2.0703e+08   7.6252e+04
2.0758e+08   7.6225e+04
2.0812e+08   7.6198e+04
2.0867e+08   7.6172e+04
2.0922e+08   7.6145e+04
2.0977e+08   7.6119e+04
2.1032e+08   7.6092e+04
2.1087e+08   7.6066e+04
2.1143e+08   7.6039e+04
2.1198e+08   7.6012e+04
2.1254e+08   7.5986e+04
2.1310e+08   7.5959e+04
2.1366e+08   7.5933e+04
2.1423e+08   7.5906e+04
2.1479e+08   7.5880e+04
2.1536e+08   7.5853e+04
2.1592e+08   7.5826e+04
2.1649e+08   7.5800e+04
2.1706e+08   7.5773e+04
2.1764e+08   7.5747e+04
2.1821e+08   7.5720e+04
2.1879e+08   7.5694e+04
2.1936e+08   7.5667e+04
2.1994e+08   7.5640e+04
2.2052e+08   7.5614e+04
2.2110e+08   7.5587e+04
2.2169e+08   7.5561e+04
2.2227e+08   7.5534e+04
2.2286e+08   7.5508e+04
2.2345e+08   7.5481e+04
2.2404e+08   7.5454e+04
2.2463e+08   7.5428e+04
2.2522e+08   7.5401e+04
2.2582e+08   7.5375e+04
2.2642e+08   7.5348e+04
2.2702e+08   7.5322e+04
2.2762e+08   7.5295e+04
2.2822e+08   7.5268e+04
2.2882e+08   7.5242e+04
2.2943e+08   7.5215e+04
2.3003e+08   7.5189e+04
2.3064e+08   7.5162e+04
2.3125e+08   7.5136e+04
2.3186e+08   7.5109e+04
2.3248e+08   7.5082e+04
2.3309e+08   7.5056e+04
2.3371e+08   7.5029e+04
