Dia: 1.1 m | Vel: 14.4 km/s | theta: 38.0 deg | Strength: 6.0e+06 Pa
Power (W)    Time (sec)
1.4401e+08   3.0000e-03
1.4438e+08   6.0000e-03
1.4475e+08   9.0000e-03
1.4512e+08   1.2000e-02
1.4549e+08   1.5000e-02
1.4587e+08   1.8000e-02
1.4624e+08   2.1000e-02
1.4662e+08   2.4000e-02
1.4699e+08   2.7000e-02
1.4737e+08   3.0000e-02
1.4775e+08   3.3000e-02
1.4813e+08   3.6000e-02
1.4851e+08   3.9000e-02
1.4889e+08   4.2000e-02
1.4927e+08   4.5000e-02
1.4966e+08   4.8000e-02
1.5004e+08   5.1000e-02
1.5043e+08   5.4000e-02
1.5082e+08   5.7000e-02
1.5120e+08   6.0000e-02
1.5159e+08   6.3000e-02
1.5198e+08   6.6000e-02
1.5237e+08   6.9000e-02
1.5277e+08   7.2000e-02
1.5316e+08   7.5000e-02
1.5355e+08   7.8000e-02
1.5395e+08   8.1000e-02
1.5435e+08   8.4000e-02
1.5474e+08   8.7000e-02
1.5514e+08   9.0000e-02
1.5554e+08   9.3000e-02
1.5594e+08   9.6000e-02
1.5635e+08   9.9000e-02
1.5675e+08   1.0200e-01
1.5715e+08   1.0500e-01
1.5756e+08   1.0800e-01
1.5797e+08   1.1100e-01
1.5837e+08   1.1400e-01
1.5878e+08   1.1700e-01
1.5919e+08   1.2000e-01
1.5960e+08   1.2300e-01
1.6001e+08   1.2600e-01
1.6043e+08   1.2900e-01
1.6084e+08   1.3200e-01
1.6126e+08   1.3500e-01
1.6167e+08   1.3800e-01
1.6209e+08   1.4100e-01
1.6251e+08   1.4400e-01
1.6293e+08   1.4700e-01
1.6335e+08   1.5000e-01
1.6378e+08   1.5300e-01
1.6420e+08   1.5600e-01
1.6462e+08   1.5900e-01
1.6505e+08   1.6200e-01
1.6548e+08   1.6500e-01
1.6591e+08   1.6800e-01
1.6634e+08   1.7100e-01
1.6677e+08   1.7400e-01
1.6720e+08   1.7700e-01
1.6763e+08   1.8000e-01
1.6807e+08   1.8300e-01
1.6850e+08   1.8600e-01
1.6894e+08   1.8900e-01
1.6938e+08   1.9200e-01
1.6982e+08   1.9500e-01
1.7026e+08   1.9800e-01
1.7070e+08   2.0100e-01
1.7114e+08   2.0400e-01
1.7159e+08   2.0700e-01
1.7203e+08   2.1000e-01
1.7248e+08   2.1300e-01
1.7292e+08   2.1600e-01
1.7337e+08   2.1900e-01
1.7382e+08   2.2200e-01
1.7428e+08   2.2500e-01
1.7473e+08   2.2800e-01
1.7518e+08   2.3100e-01
1.7564e+08   2.3400e-01
1.7609e+08   2.3700e-01
1.7655e+08   2.4000e-01
1.7701e+08   2.4300e-01
1.7747e+08   2.4600e-01
1.7793e+08   2.4900e-01
1.7840e+08   2.5200e-01
1.7886e+08   2.5500e-01
1.7933e+08   2.5800e-01
1.7979e+08   2.6100e-01
1.8026e+08   2.6400e-01
1.8073e+08   2.6700e-01
1.8120e+08   2.7000e-01
1.8167e+08   2.7300e-01
1.8215e+08   2.7600e-01
1.8262e+08   2.7900e-01
1.8310e+08   2.8200e-01
1.8357e+08   2.8500e-01
1.8405e+08   2.8800e-01
1.8453e+08   2.9100e-01
1.8501e+08   2.9400e-01
1.8550e+08   2.9700e-01
1.8598e+08   3.0000e-01
1.8647e+08   3.0300e-01
1.8695e+08   3.0600e-01
1.8744e+08   3.0900e-01
1.8793e+08   3.1200e-01
1.8842e+08   3.1500e-01
1.8891e+08   3.1800e-01
1.8941e+08   3.2100e-01
1.8990e+08   3.2400e-01
1.9040e+08   3.2700e-01
1.9090e+08   3.3000e-01
1.9140e+08   3.3300e-01
1.9190e+08   3.3600e-01
1.9240e+08   3.3900e-01
1.9290e+08   3.4200e-01
1.9341e+08   3.4500e-01
1.9391e+08   3.4800e-01
1.9442e+08   3.5100e-01
1.9493e+08   3.5400e-01
1.9544e+08   3.5700e-01
1.9595e+08   3.6000e-01
1.9646e+08   3.6300e-01
1.9698e+08   3.6600e-01
1.9749e+08   3.6900e-01
1.9801e+08   3.7200e-01
1.9853e+08   3.7500e-01
1.9905e+08   3.7800e-01
1.9957e+08   3.8100e-01
2.0010e+08   3.8400e-01
2.0062e+08   3.8700e-01
2.0115e+08   3.9000e-01
2.0167e+08   3.9300e-01
2.0220e+08   3.9600e-01
2.0273e+08   3.9900e-01
2.0327e+08   4.0200e-01
2.0380e+08   4.0500e-01
2.0433e+08   4.0800e-01
2.0487e+08   4.1100e-01
2.0541e+08   4.1400e-01
2.0595e+08   4.1700e-01
2.0649e+08   4.2000e-01
2.0703e+08   4.2300e-01
2.0758e+08   4.2600e-01
2.0812e+08   4.2900e-01
2.0867e+08   4.3200e-01
2.0922e+08   4.3500e-01
2.0977e+08   4.3800e-01
2.1032e+08   4.4100e-01
2.1087e+08   4.4400e-01
2.1143e+08   4.4700e-01
2.1198e+08   4.5000e-01
2.1254e+08   4.5300e-01
2.1310e+08   4.5600e-01
2.1366e+08   4.5900e-01
2.1423e+08   4.6200e-01
2.1479e+08   4.6500e-01
2.1536e+08   4.6800e-01
2.1592e+08   4.7100e-01
2.1649e+08   4.7400e-01
2.1706e+08   4.7700e-01
2.1764e+08   4.8000e-01
2.1821e+08   4.8300e-01
2.1879e+08   4.8600e-01
2.1936e+08   4.8900e-01
2.1994e+08   4.9200e-01
2.2052e+08   4.9500e-01
2.2110e+08   4.9800e-01
2.2169e+08   5.0100e-01
2.2227e+08   5.0400e-01
2.2286e+08   5.0700e-01
2.2345e+08   5.1000e-01
2.2404e+08   5.1300e-01
2.2463e+08   5.1600e-01
2.2522e+08   5.1900e-01
2.2582e+08   5.2200e-01
2.2642e+08   5.2500e-01
2.2702e+08   5.2800e-01
2.2762e+08   5.3100e-01
2.2822e+08   5.3400e-01
2.2882e+08   5.3700e-01
2.2943e+08   5.4000e-01
2.3003e+08   5.4300e-01
2.3064e+08   5.4600e-01
2.3125e+08   5.4900e-01
2.3186e+08   5.5200e-01
2.3248e+08   5.5500e-01
