time_seconds,energy
1773752200.385,1.1850418683726025e-15
1773752200.397,1.3850178768898703e-15
1773752200.401,1.3850178768898703e-15
1773752200.405,1.4850058811485042e-15
1773752200.417,1.4850058811485042e-15
1773752200.419,1.584993885407138e-15
1773752200.421,1.684981889665772e-15
1773752200.423,1.3850178768898703e-15
1773752200.425,1.9849459024416736e-15
1773752200.429,1.784969893924406e-15
1773752200.431,1.9849459024416736e-15
1773752200.433,1.9849459024416736e-15
1773752200.435,1.9849459024416736e-15
1773752200.437,2.1849219109589414e-15
1773752200.439,1.9849459024416736e-15
1773752200.441,2.2849099152175752e-15
1773752200.443,2.7848499365107447e-15
1773752200.445,2.384897919476209e-15
1773752200.447,2.2849099152175752e-15
1773752200.449,2.484885923734843e-15
1773752200.451,2.484885923734843e-15
1773752200.453,3.18480195354528e-15
1773752200.455,3.0848139492866463e-15
1773752200.457,3.584753970579816e-15
1773752200.459,3.0848139492866463e-15
1773752200.461,2.8848379407693785e-15
1773752200.463,3.384777962062548e-15
1773752200.465,3.384777962062548e-15
1773752200.467,3.484765966321182e-15
1773752200.469,3.984705564097878e-15
1773752200.471,4.384657581132413e-15
1773752200.473,4.0846935683565115e-15
1773752200.475,4.1846815726151454e-15
1773752200.477,4.1846815726151454e-15
1773752200.479,5.284549619460118e-15
1773752200.481,5.184561615201484e-15
1773752200.483,4.9845856066842165e-15
1773752200.485,5.284549619460118e-15
1773752200.487,4.9845856066842165e-15
1773752200.489,5.484525627977386e-15
1773752200.49,5.8844776450119214e-15
1773752200.493,6.084453653529189e-15
1773752200.495,6.284429662046457e-15
1773752200.497,6.384417666305091e-15
1773752200.498,6.6843816790809925e-15
1773752200.501,6.6843816790809925e-15
1773752200.503,7.284309704632796e-15
1773752200.505,7.184321700374162e-15
1773752200.506,6.984345691856894e-15
1773752200.508,7.284309704632796e-15
1773752200.511,7.284309704632796e-15
1773752200.513,7.484285713150064e-15
1773752200.514,8.1842017429605e-15
1773752200.516,7.884237730184599e-15
1773752200.518,7.584273717408697e-15
1773752200.521,8.1842017429605e-15
1773752200.523,8.284189747219135e-15
1773752200.524,8.084213738701867e-15
1773752200.526,8.884117772770938e-15
1773752200.528,8.784129768512304e-15
1773752200.531,8.784129768512304e-15
1773752200.532,8.584153759995036e-15
1773752200.534,8.884117772770938e-15
1773752200.536,8.884117772770938e-15
1773752200.539,9.18408178554684e-15
1773752200.54,8.884117772770938e-15
1773752200.542,9.784009811098643e-15
1773752200.544,9.284069789805473e-15
1773752200.546,9.18408178554684e-15
1773752200.548,9.484045798322741e-15
1773752200.55,9.784009811098643e-15
1773752200.552,1.0183961828133178e-14
1773752200.554,9.98398581961591e-15
1773752200.556,1.0083973823874545e-14
