time_seconds,energy
1773723887.0,1.085053969993087e-15
1773723887.001,1.684981889665772e-15
1773723887.003,1.9849459024416736e-15
1773723887.005,2.1849219109589414e-15
1773723887.007,2.7848499365107447e-15
1773723887.009,2.8848379407693785e-15
1773723887.011,3.484765966321182e-15
1773723887.013,4.1846815726151454e-15
1773723887.015,4.384657581132413e-15
1773723887.018,4.784609598166949e-15
1773723887.019,4.284669576873779e-15
1773723887.021,4.1846815726151454e-15
1773723887.023,3.884717559839244e-15
1773723887.025,3.284789957803914e-15
1773723887.027,2.9848259450280124e-15
1773723887.029,2.7848499365107447e-15
1773723887.031,2.584873927993477e-15
1773723887.033,2.0849339067003075e-15
1773723887.035,1.9849459024416736e-15
1773723887.037,1.684981889665772e-15
1773723887.039,1.684981889665772e-15
1773723887.041,1.2850298726312364e-15
1773723887.043,1.3850178768898703e-15
1773723887.045,1.4850058811485042e-15
1773723887.047,1.784969893924406e-15
1773723887.049,1.684981889665772e-15
1773723887.051,1.684981889665772e-15
1773723887.053,1.3850178768898703e-15
1773723887.055,9.850659657344532e-16
1773723887.057,9.850659657344532e-16
1773723887.059,1.1850418683726025e-15
1773723887.061,9.850659657344532e-16
1773723887.063,9.850659657344532e-16
1773723887.065,9.850659657344532e-16
1773723887.071,7.850899572171854e-16
1773723887.073,8.850779614758193e-16
1773723887.655,2.6848619322521108e-15
1773723887.658,5.58451363223602e-15
1773723887.66,8.784129768512304e-15
1773723887.661,1.3183601955892195e-14
1773723887.663,1.788303730901504e-14
1773723887.666,2.428226958156761e-14
1773723887.668,2.888171608339887e-14
1773723887.669,3.068149846598839e-14
1773723887.671,3.05815113087627e-14
1773723887.673,3.088147616857155e-14
1773723887.676,3.258127139393538e-14
1773723887.677,3.178136735986631e-14
1773723887.679,2.978160727469363e-14
1773723887.681,2.9081690397850246e-14
1773723887.683,2.8781728926173186e-14
1773723887.685,2.8781728926173186e-14
1773723887.687,2.8181800900621383e-14
1773723887.689,2.7481885717843893e-14
1773723887.691,2.7081933700809357e-14
1773723887.693,2.7181920858035044e-14
1773723887.695,2.6182040815448705e-14
1773723887.697,2.4882197607119412e-14
1773723887.699,2.438225843285919e-14
1773723887.701,2.3682341556015805e-14
1773723887.703,2.2882437521946734e-14
1773723887.705,2.2082533487877663e-14
1773723887.707,2.158259431361744e-14
1773723887.709,2.0882677436774057e-14
1773723887.711,2.0182762253996567e-14
1773723887.713,1.9582834228444763e-14
1773723887.715,1.9282869368635915e-14
1773723887.717,1.868294134308411e-14
1773723887.719,1.788303730901504e-14
1773723887.721,1.68831572664287e-14
1773723887.723,1.6483205249394166e-14
1773723887.725,1.5683301215325095e-14
1773723887.727,1.4983386032547605e-14
1773723887.729,1.4683421172738756e-14
1773723887.731,1.3683541977185364e-14
1773723887.733,1.2583673930340392e-14
1773723887.735,1.1483805883495419e-14
1773723887.737,1.1283829874978151e-14
1773723887.739,1.0383937836650446e-14
1773723887.741,9.584033802581375e-15
1773723887.743,8.68414176425367e-15
1773723887.745,8.1842017429605e-15
1773723887.747,6.88435768759826e-15
1773723887.749,6.184441657787823e-15
1773723887.751,5.58451363223602e-15
1773723887.753,5.184561615201484e-15
1773723887.755,4.484645585391047e-15
1773723887.757,3.884717559839244e-15
1773723887.759,3.18480195354528e-15
1773723887.761,2.7848499365107447e-15
1773723887.763,2.6848619322521108e-15
1773723887.765,1.9849459024416736e-15
1773723887.767,1.684981889665772e-15
1773723887.769,1.1850418683726025e-15
